# caminhante aleatório em matriz 20x20 
# tempo  x   y   sítio 
0    8    15    308 
1    8    16    328 
2    9    16    329 
3    9    17    349 
4    9    16    329 
5    9    17    349 
6    10    17    350 
7    10    16    330 
8    9    16    329 
9    9    15    309 
10    9    14    289 
11    9    13    269 
12    8    13    268 
13    8    14    288 
14    8    13    268 
15    8    12    248 
16    9    12    249 
17    8    12    248 
18    8    13    268 
19    9    13    269 
20    10    13    270 
21    10    14    290 
22    10    13    270 
23    9    13    269 
24    9    14    289 
25    8    14    288 
26    8    15    308 
27    8    16    328 
28    8    17    348 
29    8    16    328 
30    8    17    348 
31    9    17    349 
32    9    18    369 
33    9    19    389 
34    10    19    390 
35    11    19    391 
36    11    18    371 
37    10    18    370 
38    9    18    369 
39    8    18    368 
40    8    17    348 
41    7    17    347 
42    8    17    348 
43    9    17    349 
44    10    17    350 
45    10    18    370 
46    10    19    390 
47    9    19    389 
48    8    19    388 
49    8    0    8 
50    8    1    28 
51    8    2    48 
52    8    3    68 
53    9    3    69 
54    9    4    89 
55    9    3    69 
56    10    3    70 
57    11    3    71 
58    11    2    51 
59    12    2    52 
60    13    2    53 
61    14    2    54 
62    13    2    53 
63    12    2    52 
64    12    3    72 
65    11    3    71 
66    10    3    70 
67    11    3    71 
68    11    4    91 
69    11    3    71 
70    12    3    72 
71    12    4    92 
72    13    4    93 
73    13    5    113 
74    13    4    93 
75    14    4    94 
76    14    3    74 
77    14    2    54 
78    15    2    55 
79    16    2    56 
80    15    2    55 
81    15    1    35 
82    15    2    55 
83    15    1    35 
84    14    1    34 
85    15    1    35 
86    15    0    15 
87    15    19    395 
88    15    0    15 
89    15    1    35 
90    15    2    55 
91    15    3    75 
92    15    4    95 
93    15    3    75 
94    14    3    74 
95    13    3    73 
96    12    3    72 
97    12    2    52 
98    11    2    51 
99    11    1    31 
100    11    0    11 
101    11    1    31 
102    11    0    11 
103    12    0    12 
104    12    1    32 
105    12    2    52 
106    12    1    32 
107    12    0    12 
108    13    0    13 
109    13    1    33 
110    12    1    32 
111    13    1    33 
112    14    1    34 
113    13    1    33 
114    12    1    32 
115    12    0    12 
116    13    0    13 
117    13    19    393 
118    12    19    392 
119    12    0    12 
120    13    0    13 
121    14    0    14 
122    14    1    34 
123    13    1    33 
124    12    1    32 
125    13    1    33 
126    14    1    34 
127    15    1    35 
128    16    1    36 
129    16    0    16 
130    15    0    15 
131    16    0    16 
132    15    0    15 
133    14    0    14 
134    15    0    15 
135    14    0    14 
136    14    1    34 
137    15    1    35 
138    14    1    34 
139    13    1    33 
140    14    1    34 
141    14    2    54 
142    14    3    74 
143    13    3    73 
144    14    3    74 
145    14    2    54 
146    15    2    55 
147    15    1    35 
148    15    0    15 
149    14    0    14 
150    14    19    394 
151    15    19    395 
152    15    0    15 
153    15    19    395 
154    14    19    394 
155    14    0    14 
156    15    0    15 
157    15    19    395 
158    15    0    15 
159    15    1    35 
160    15    0    15 
161    16    0    16 
162    16    19    396 
163    17    19    397 
164    17    18    377 
165    18    18    378 
166    18    17    358 
167    18    18    378 
168    17    18    377 
169    16    18    376 
170    17    18    377 
171    17    19    397 
172    17    0    17 
173    17    1    37 
174    17    0    17 
175    18    0    18 
176    18    1    38 
177    18    2    58 
178    18    3    78 
179    18    2    58 
180    18    1    38 
181    17    1    37 
182    18    1    38 
183    18    2    58 
184    19    2    59 
185    19    1    39 
186    19    0    19 
187    18    0    18 
188    18    1    38 
189    18    2    58 
190    18    1    38 
191    18    2    58 
