# caminhante aleatório em matriz 20x20 
# tempo  x   y   sítio 
0    13    5    113 
1    14    5    114 
2    13    5    113 
3    14    5    114 
4    15    5    115 
5    14    5    114 
6    13    5    113 
7    13    4    93 
8    12    4    92 
9    13    4    93 
10    13    3    73 
11    13    2    53 
12    13    1    33 
13    12    1    32 
14    12    2    52 
15    12    3    72 
16    13    3    73 
17    14    3    74 
18    15    3    75 
19    15    2    55 
20    16    2    56 
21    15    2    55 
22    14    2    54 
23    13    2    53 
24    12    2    52 
25    13    2    53 
26    13    1    33 
27    12    1    32 
28    13    1    33 
29    13    0    13 
30    14    0    14 
31    14    1    34 
32    13    1    33 
33    13    2    53 
34    13    1    33 
35    13    0    13 
36    12    0    12 
37    13    0    13 
38    14    0    14 
39    15    0    15 
40    15    19    395 
41    15    0    15 
42    15    1    35 
43    15    2    55 
44    15    1    35 
45    16    1    36 
46    17    1    37 
47    18    1    38 
48    18    2    58 
49    18    1    38 
50    17    1    37 
51    17    0    17 
52    17    1    37 
53    18    1    38 
54    18    0    18 
55    19    0    19 
56    19    19    399 
57    19    0    19 
58    18    0    18 
59    19    0    19 
60    19    1    39 
61    0    1    20 
62    0    2    40 
63    19    2    59 
64    18    2    58 
65    18    1    38 
66    18    0    18 
67    18    19    398 
68    19    19    399 
69    19    18    379 
70    19    17    359 
71    18    17    358 
72    18    16    338 
73    17    16    337 
74    18    16    338 
75    19    16    339 
76    19    15    319 
77    19    16    339 
78    19    17    359 
79    19    16    339 
80    18    16    338 
81    17    16    337 
82    17    17    357 
83    18    17    358 
84    18    16    338 
85    18    15    318 
86    18    16    338 
87    18    17    358 
88    18    16    338 
89    18    17    358 
90    19    17    359 
91    19    18    379 
92    19    19    399 
93    18    19    398 
94    19    19    399 
95    19    18    379 
96    19    19    399 
97    18    19    398 
98    18    0    18 
99    17    0    17 
100    18    0    18 
101    18    1    38 
102    17    1    37 
103    17    2    57 
104    16    2    56 
105    15    2    55 
106    16    2    56 
107    15    2    55 
108    14    2    54 
109    14    1    34 
110    15    1    35 
111    15    2    55 
112    14    2    54 
113    13    2    53 
114    13    1    33 
115    12    1    32 
116    11    1    31 
117    11    2    51 
118    10    2    50 
119    10    1    30 
120    10    2    50 
121    9    2    49 
122    9    1    29 
123    10    1    30 
124    9    1    29 
125    9    0    9 
126    9    19    389 
127    9    18    369 
128    9    17    349 
129    10    17    350 
130    11    17    351 
131    12    17    352 
132    11    17    351 
133    12    17    352 
134    13    17    353 
135    13    18    373 
136    12    18    372 
137    13    18    373 
138    13    17    353 
139    13    18    373 
140    14    18    374 
141    13    18    373 
142    13    19    393 
143    13    18    373 
144    12    18    372 
145    13    18    373 
146    12    18    372 
147    12    17    352 
148    12    16    332 
149    13    16    333 
150    14    16    334 
151    13    16    333 
152    13    17    353 
153    12    17    352 
154    12    16    332 
155    12    15    312 
156    11    15    311 
157    11    14    291 
158    11    13    271 
159    10    13    270 
160    10    12    250 
161    9    12    249 
162    10    12    250 
163    9    12    249 
164    9    11    229 
165    9    10    209 
166    8    10    208 
167    9    10    209 
168    9    11    229 
169    10    11    230 
170    11    11    231 
171    10    11    230 
172    9    11    229 
173    8    11    228 
174    8    10    208 
175    7    10    207 
176    8    10    208 
177    9    10    209 
178    8    10    208 
179    7    10    207 
180    8    10    208 
181    7    10    207 
182    8    10    208 
183    8    9    188 
184    8    10    208 
185    7    10    207 
186    8    10    208 
187    7    10    207 
188    8    10    208 
189    8    9    188 
190    8    10    208 
191    7    10    207 
192    8    10    208 
193    9    10    209 
194    9    9    189 
195    9    10    209 
196    9    9    189 
197    8    9    188 
198    7    9    187 
199    8    9    188 
200    7    9    187 
201    8    9    188 
202    7    9    187 
203    7    10    207 
204    8    10    208 
205    8    11    228 
206    7    11    227 
207    8    11    228 
208    9    11    229 
209    9    10    209 
210    8    10    208 
211    8    11    228 
212    8    12    248 
213    8    11    228 
214    8    10    208 
215    8    11    228 
216    8    10    208 
217    8    11    228 
218    8    12    248 
219    9    12    249 
220    10    12    250 
221    10    13    270 
222    9    13    269 
223    10    13    270 
224    10    14    290 
225    11    14    291 
226    11    13    271 
227    11    14    291 
228    10    14    290 
229    10    13    270 
230    9    13    269 
231    8    13    268 
232    7    13    267 
233    7    12    247 
234    8    12    248 
235    8    13    268 
236    8    12    248 
237    7    12    247 
238    8    12    248 
239    9    12    249 
240    9    13    269 
241    10    13    270 
242    10    12    250 
243    9    12    249 
244    10    12    250 
245    9    12    249 
246    10    12    250 
247    11    12    251 
248    10    12    250 
249    10    11    230 
250    9    11    229 
251    9    10    209 
252    8    10    208 
253    9    10    209 
254    8    10    208 
255    8    11    228 
256    9    11    229 
257    10    11    230 
258    10    10    210 
259    9    10    209 
260    10    10    210 
261    11    10    211 
262    11    9    191 
263    10    9    190 
264    10    10    210 
265    10    11    230 
266    10    10    210 
267    10    11    230 
268    9    11    229 
269    10    11    230 
270    10    12    250 
271    10    13    270 
272    10    14    290 
273    10    13    270 
274    10    14    290 
275    9    14    289 
276    10    14    290 
277    10    15    310 
278    11    15    311 
279    12    15    312 
280    11    15    311 
281    11    14    291 
282    11    13    271 
283    11    12    251 
284    10    12    250 
285    10    11    230 
286    10    10    210 
287    11    10    211 
288    10    10    210 
289    9    10    209 
290    9    11    229 
291    9    10    209 
292    10    10    210 
293    9    10    209 
294    8    10    208 
295    9    10    209 
296    9    9    189 
297    8    9    188 
298    8    8    168 
299    7    8    167 
300    6    8    166 
301    5    8    165 
302    6    8    166 
303    7    8    167 
304    7    9    187 
305    7    10    207 
306    6    10    206 
307    7    10    207 
308    7    11    227 
309    7    12    247 
310    6    12    246 
311    5    12    245 
312    6    12    246 
313    5    12    245 
314    5    11    225 
315    4    11    224 
316    4    10    204 
317    4    11    224 
318    4    12    244 
319    4    11    224 
320    4    10    204 
321    5    10    205 
322    4    10    204 
323    3    10    203 
324    2    10    202 
325    2    9    182 
326    2    8    162 
327    1    8    161 
328    1    9    181 
329    0    9    180 
330    0    10    200 
331    19    10    219 
332    19    9    199 
333    0    9    180 
334    1    9    181 
335    2    9    182 
336    3    9    183 
337    3    10    203 
338    4    10    204 
339    4    9    184 
340    5    9    185 
341    4    9    184 
342    3    9    183 
343    3    8    163 
344    2    8    162 
345    2    9    182 
346    3    9    183 
347    3    8    163 
348    4    8    164 
349    3    8    163 
350    3    9    183 
351    3    8    163 
352    4    8    164 
353    5    8    165 
354    6    8    166 
355    5    8    165 
356    6    8    166 
357    7    8    167 
358    6    8    166 
359    5    8    165 
360    6    8    166 
361    5    8    165 
362    4    8    164 
363    4    9    184 
364    4    8    164 
365    4    9    184 
366    5    9    185 
367    5    10    205 
368    5    9    185 
369    5    10    205 
370    6    10    206 
371    6    11    226 
372    7    11    227 
373    7    12    247 
374    6    12    246 
375    5    12    245 
376    5    11    225 
377    5    10    205 
378    5    9    185 
379    5    8    165 
380    5    7    145 
381    4    7    144 
382    4    6    124 
383    3    6    123 
384    3    5    103 
385    3    6    123 
386    4    6    124 
387    4    5    104 
388    4    6    124 
389    4    5    104 
390    5    5    105 
391    5    6    125 
392    5    5    105 
393    6    5    106 
394    5    5    105 
395    4    5    104 
396    4    4    84 
397    4    3    64 
398    3    3    63 
399    3    4    83 
400    2    4    82 
401    2    5    102 
402    3    5    103 
403    3    6    123 
404    4    6    124 
405    4    5    104 
406    3    5    103 
407    2    5    102 
408    1    5    101 
409    2    5    102 
410    1    5    101 
411    2    5    102 
412    3    5    103 
413    4    5    104 
414    4    4    84 
415    3    4    83 
416    3    5    103 
417    2    5    102 
418    2    6    122 
419    1    6    121 
420    2    6    122 
421    2    5    102 
422    1    5    101 
423    2    5    102 
424    2    4    82 
425    1    4    81 
426    1    5    101 
427    2    5    102 
428    2    4    82 
429    3    4    83 
430    3    5    103 
431    3    4    83 
432    3    5    103 
433    3    4    83 
434    3    5    103 
435    3    6    123 
436    3    7    143 
437    3    8    163 
438    4    8    164 
439    3    8    163 
440    3    9    183 
441    3    10    203 
442    3    11    223 
443    2    11    222 
444    2    10    202 
445    2    11    222 
446    1    11    221 
447    2    11    222 
448    2    10    202 
449    2    11    222 
450    1    11    221 
