# caminhante aleatório em matriz 20x20 
# tempo  x   y   sítio 
0    19    10    219 
1    19    11    239 
2    19    12    259 
3    0    12    240 
4    0    11    220 
5    0    12    240 
6    0    13    260 
7    19    13    279 
8    19    14    299 
9    0    14    280 
10    19    14    299 
11    19    13    279 
12    19    14    299 
13    19    13    279 
14    0    13    260 
15    1    13    261 
16    1    12    241 
17    1    11    221 
18    1    12    241 
19    2    12    242 
20    3    12    243 
21    2    12    242 
22    2    11    222 
23    2    10    202 
24    3    10    203 
25    3    11    223 
26    3    12    243 
27    4    12    244 
28    4    13    264 
29    5    13    265 
30    4    13    264 
31    3    13    263 
32    3    14    283 
33    2    14    282 
34    2    13    262 
35    2    14    282 
36    2    13    262 
37    1    13    261 
38    2    13    262 
39    2    12    242 
40    1    12    241 
41    2    12    242 
42    1    12    241 
43    0    12    240 
44    19    12    259 
45    19    13    279 
46    19    12    259 
47    0    12    240 
48    1    12    241 
49    1    11    221 
50    0    11    220 
51    0    10    200 
52    1    10    201 
53    1    9    181 
54    1    8    161 
55    2    8    162 
56    2    7    142 
57    3    7    143 
58    3    8    163 
59    3    9    183 
60    3    8    163 
61    3    7    143 
62    3    8    163 
63    3    9    183 
64    3    10    203 
65    3    9    183 
66    3    8    163 
67    4    8    164 
68    5    8    165 
69    6    8    166 
70    5    8    165 
71    4    8    164 
72    4    9    184 
73    5    9    185 
74    4    9    184 
75    4    10    204 
76    4    9    184 
77    5    9    185 
78    4    9    184 
79    3    9    183 
80    3    8    163 
81    2    8    162 
82    3    8    163 
83    3    7    143 
84    3    8    163 
85    3    9    183 
86    2    9    182 
87    2    8    162 
88    1    8    161 
89    1    9    181 
90    1    10    201 
91    2    10    202 
92    1    10    201 
93    1    11    221 
94    1    12    241 
95    1    11    221 
96    1    12    241 
97    1    11    221 
98    1    12    241 
99    2    12    242 
100    2    11    222 
101    3    11    223 
102    4    11    224 
103    5    11    225 
104    6    11    226 
105    6    10    206 
106    7    10    207 
107    6    10    206 
108    6    9    186 
109    6    10    206 
110    6    9    186 
111    6    8    166 
112    5    8    165 
113    5    9    185 
114    6    9    186 
115    5    9    185 
116    5    10    205 
117    5    11    225 
118    4    11    224 
119    4    10    204 
120    4    11    224 
121    4    12    244 
122    4    11    224 
123    3    11    223 
124    4    11    224 
125    4    10    204 
126    4    9    184 
127    4    8    164 
128    4    9    184 
129    4    10    204 
130    4    11    224 
131    4    10    204 
132    5    10    205 
133    4    10    204 
134    5    10    205 
135    4    10    204 
136    5    10    205 
137    4    10    204 
138    4    9    184 
139    4    10    204 
140    3    10    203 
141    2    10    202 
142    3    10    203 
143    4    10    204 
144    5    10    205 
145    6    10    206 
146    5    10    205 
147    5    9    185 
148    6    9    186 
149    6    10    206 
150    6    9    186 
151    6    8    166 
152    6    7    146 
153    7    7    147 
154    7    6    127 
155    8    6    128 
156    9    6    129 
157    8    6    128 
158    9    6    129 
159    8    6    128 
160    8    5    108 
161    7    5    107 
162    7    4    87 
163    6    4    86 
164    6    3    66 
165    6    2    46 
166    6    3    66 
167    6    2    46 
168    5    2    45 
169    5    1    25 
170    5    2    45 
171    4    2    44 
172    4    1    24 
173    4    0    4 
174    4    19    384 
175    4    18    364 
176    5    18    365 
177    4    18    364 
178    5    18    365 
179    5    17    345 
180    5    16    325 
181    4    16    324 
182    5    16    325 
183    5    17    345 
184    6    17    346 
185    5    17    345 
186    6    17    346 
187    6    16    326 
188    6    17    346 
189    5    17    345 
190    6    17    346 
191    5    17    345 
192    5    16    325 
193    6    16    326 
194    6    17    346 
195    6    16    326 
196    5    16    325 
197    4    16    324 
198    5    16    325 
199    6    16    326 
200    7    16    327 
201    8    16    328 
202    7    16    327 
203    8    16    328 
204    7    16    327 
205    7    17    347 
206    7    16    327 
207    7    15    307 
208    7    16    327 
209    7    15    307 
210    7    16    327 
211    6    16    326 
212    7    16    327 
213    8    16    328 
214    7    16    327 
215    6    16    326 
216    7    16    327 
217    7    17    347 
218    8    17    348 
219    9    17    349 
220    9    18    369 
221    9    19    389 
222    8    19    388 
223    9    19    389 
224    10    19    390 
225    11    19    391 
226    12    19    392 
227    12    0    12 
228    12    1    32 
229    12    2    52 
230    12    1    32 
231    12    2    52 
232    11    2    51 
233    11    3    71 
234    11    4    91 
235    12    4    92 
236    13    4    93 
237    14    4    94 
238    14    5    114 
239    14    4    94 
