# caminhante aleatório em matriz 20x20 
# tempo  x   y   sítio 
0    11    12    251 
1    10    12    250 
2    11    12    251 
3    12    12    252 
4    12    13    272 
5    11    13    271 
6    11    14    291 
7    10    14    290 
8    11    14    291 
9    10    14    290 
10    9    14    289 
11    9    15    309 
12    9    14    289 
13    9    15    309 
14    9    14    289 
15    10    14    290 
16    11    14    291 
17    11    15    311 
18    11    16    331 
19    10    16    330 
20    10    17    350 
21    11    17    351 
22    11    18    371 
23    10    18    370 
24    11    18    371 
25    11    19    391 
26    10    19    390 
27    9    19    389 
28    9    18    369 
29    9    17    349 
30    9    18    369 
31    9    19    389 
32    10    19    390 
33    11    19    391 
34    11    0    11 
35    11    19    391 
36    12    19    392 
37    13    19    393 
38    12    19    392 
39    12    18    372 
40    12    19    392 
41    12    18    372 
42    12    19    392 
43    11    19    391 
44    11    0    11 
45    11    19    391 
46    11    0    11 
47    11    1    31 
48    11    2    51 
49    12    2    52 
50    12    1    32 
51    12    0    12 
52    11    0    11 
53    10    0    10 
54    9    0    9 
55    9    1    29 
56    10    1    30 
57    10    0    10 
58    9    0    9 
59    10    0    10 
60    9    0    9 
61    10    0    10 
62    10    19    390 
63    10    0    10 
64    10    19    390 
65    10    18    370 
66    9    18    369 
67    9    17    349 
68    9    18    369 
69    8    18    368 
70    9    18    369 
71    9    19    389 
72    9    0    9 
73    8    0    8 
74    9    0    9 
75    10    0    10 
76    11    0    11 
77    10    0    10 
78    10    1    30 
79    9    1    29 
80    9    2    49 
81    9    3    69 
82    9    4    89 
83    9    3    69 
84    9    4    89 
85    10    4    90 
86    11    4    91 
87    11    5    111 
88    11    6    131 
89    12    6    132 
90    11    6    131 
91    11    7    151 
92    11    8    171 
93    11    7    151 
94    11    8    171 
95    11    9    191 
96    10    9    190 
97    10    10    210 
98    9    10    209 
99    9    11    229 
100    9    12    249 
101    9    11    229 
102    9    12    249 
103    9    11    229 
104    8    11    228 
105    8    12    248 
106    9    12    249 
107    8    12    248 
108    8    11    228 
109    8    10    208 
110    8    9    188 
111    7    9    187 
112    7    10    207 
113    8    10    208 
114    8    9    188 
115    7    9    187 
116    8    9    188 
117    7    9    187 
118    6    9    186 
119    6    10    206 
120    6    11    226 
121    7    11    227 
122    6    11    226 
123    5    11    225 
124    5    12    245 
125    5    11    225 
126    5    10    205 
127    5    9    185 
128    6    9    186 
129    6    10    206 
130    6    11    226 
131    6    12    246 
132    6    13    266 
133    6    12    246 
134    7    12    247 
135    6    12    246 
136    5    12    245 
137    6    12    246 
138    6    11    226 
139    6    10    206 
140    6    11    226 
141    5    11    225 
142    6    11    226 
143    7    11    227 
144    7    12    247 
145    8    12    248 
146    9    12    249 
147    10    12    250 
148    10    11    230 
149    9    11    229 
150    9    12    249 
151    9    13    269 
152    9    14    289 
153    9    13    269 
154    9    14    289 
155    9    15    309 
156    9    16    329 
157    9    17    349 
158    9    18    369 
159    9    19    389 
160    9    18    369 
161    8    18    368 
162    8    19    388 
163    8    18    368 
164    8    19    388 
165    7    19    387 
166    8    19    388 
167    8    18    368 
168    7    18    367 
169    8    18    368 
170    7    18    367 
171    8    18    368 
172    8    17    348 
173    9    17    349 
174    9    16    329 
175    8    16    328 
176    8    15    308 
177    8    14    288 
178    8    15    308 
179    8    16    328 
180    8    17    348 
181    9    17    349 
182    9    16    329 
183    9    15    309 
184    9    14    289 
185    9    13    269 
186    9    14    289 
187    9    15    309 
188    9    14    289 
189    8    14    288 
190    9    14    289 
191    8    14    288 
192    8    15    308 
193    8    14    288 
194    8    15    308 
195    9    15    309 
196    9    16    329 
197    10    16    330 
198    10    15    310 
199    10    14    290 
200    9    14    289 
201    9    13    269 
202    8    13    268 
203    8    12    248 
204    7    12    247 
205    7    13    267 
206    7    14    287 
207    6    14    286 
208    6    13    266 
209    6    12    246 
210    7    12    247 
211    6    12    246 
212    5    12    245 
213    6    12    246 
214    5    12    245 
215    4    12    244 
216    4    13    264 
217    5    13    265 
218    4    13    264 
219    4    14    284 
220    5    14    285 
221    6    14    286 
222    5    14    285 
223    6    14    286 
224    6    15    306 
225    6    16    326 
226    6    17    346 
227    5    17    345 
228    4    17    344 
229    4    16    324 
230    4    17    344 
231    4    18    364 
232    4    19    384 
233    5    19    385 
234    4    19    384 
235    3    19    383 
236    3    18    363 
237    3    17    343 
238    4    17    344 
239    5    17    345 
240    6    17    346 
241    5    17    345 
242    6    17    346 
243    7    17    347 
244    6    17    346 
245    7    17    347 
246    8    17    348 
247    8    16    328 
248    9    16    329 
249    8    16    328 
250    8    17    348 
251    8    16    328 
252    8    15    308 
253    7    15    307 
254    6    15    306 
255    6    14    286 
256    7    14    287 
257    7    13    267 
258    7    14    287 
259    6    14    286 
260    7    14    287 
261    8    14    288 
262    9    14    289 
263    9    13    269 
264    9    14    289 
265    10    14    290 
266    10    15    310 
267    10    16    330 
268    10    17    350 
269    10    16    330 
270    9    16    329 
271    10    16    330 
272    10    15    310 
273    9    15    309 
274    9    16    329 
275    10    16    330 
276    11    16    331 
277    12    16    332 
278    12    17    352 
279    12    18    372 
280    11    18    371 
281    11    17    351 
282    10    17    350 
283    11    17    351 
284    10    17    350 
285    10    16    330 
286    9    16    329 
287    9    17    349 
288    9    16    329 
289    10    16    330 
290    10    17    350 
291    9    17    349 
292    10    17    350 
293    9    17    349 
294    9    16    329 
295    9    15    309 
296    8    15    308 
297    7    15    307 
298    8    15    308 
299    9    15    309 
300    8    15    308 
301    8    14    288 
302    8    15    308 
303    8    16    328 
304    8    17    348 
305    8    18    368 
306    8    17    348 
307    7    17    347 
308    6    17    346 
309    6    18    366 
310    5    18    365 
311    5    19    385 
312    6    19    386 
313    6    18    366 
314    6    19    386 
315    7    19    387 
316    7    18    367 
317    7    17    347 
318    7    18    367 
319    6    18    366 
320    5    18    365 
321    4    18    364 
322    4    17    344 
323    5    17    345 
324    4    17    344 
325    4    18    364 
326    3    18    363 
327    3    19    383 
328    3    0    3 
329    2    0    2 
330    2    19    382 
331    3    19    383 
332    3    18    363 
333    3    19    383 
334    3    18    363 
335    3    17    343 
336    3    16    323 
337    3    15    303 
338    3    16    323 
339    2    16    322 
340    3    16    323 
341    4    16    324 
342    4    15    304 
343    3    15    303 
344    2    15    302 
345    2    14    282 
346    2    15    302 
347    3    15    303 
348    2    15    302 
349    2    14    282 
350    3    14    283 
351    3    15    303 
352    3    16    323 
353    3    17    343 
354    3    18    363 
355    4    18    364 
356    5    18    365 
357    4    18    364 
358    4    19    384 
359    5    19    385 
360    5    18    365 
361    5    17    345 
362    6    17    346 
363    6    16    326 
364    7    16    327 
365    6    16    326 
366    6    17    346 
367    6    16    326 
368    5    16    325 
369    4    16    324 
370    3    16    323 
371    2    16    322 
372    2    15    302 
373    2    14    282 
374    1    14    281 
375    1    13    261 
376    1    12    241 
377    2    12    242 
378    3    12    243 
379    3    13    263 
380    3    12    243 
381    4    12    244 
382    5    12    245 
383    4    12    244 
384    3    12    243 
385    4    12    244 
386    4    13    264 
387    5    13    265 
388    6    13    266 
389    5    13    265 
390    5    14    285 
391    5    13    265 
392    5    12    245 
393    6    12    246 
394    6    11    226 
395    6    12    246 
396    5    12    245 
397    5    11    225 
398    6    11    226 
399    6    12    246 
400    6    11    226 
401    7    11    227 
402    7    12    247 
403    7    11    227 
404    8    11    228 
405    7    11    227 
406    7    10    207 
407    7    9    187 
408    8    9    188 
409    7    9    187 
410    7    8    167 
411    8    8    168 
412    8    9    188 
413    9    9    189 
414    10    9    190 
415    9    9    189 
416    9    8    169 
417    9    7    149 
418    9    8    169 
419    8    8    168 
420    7    8    167 
421    7    9    187 
422    6    9    186 
423    6    8    166 
424    7    8    167 
425    7    7    147 
426    7    8    167 
427    7    7    147 
428    8    7    148 
429    7    7    147 
430    6    7    146 
431    7    7    147 
432    7    6    127 
433    6    6    126 
434    6    5    106 
435    6    6    126 
436    5    6    125 
437    5    5    105 
438    5    4    85 
439    6    4    86 
440    5    4    85 
441    5    3    65 
442    5    2    45 
