# caminhante aleatório em matriz 20x20 
# tempo  x   y   sítio 
0    0    0    246 
1    1    0    247 
2    1    1    227 
3    1    0    247 
4    2    0    248 
5    2    1    228 
6    1    1    227 
7    0    1    226 
8    1    1    225 
9    1    2    205 
10    1    3    185 
11    1    4    165 
12    0    4    166 
13    0    5    146 
14    0    6    126 
15    0    7    106 
16    0    6    126 
17    1    6    125 
18    1    7    105 
19    2    7    104 
20    1    7    105 
21    0    7    106 
22    0    8    86 
23    1    8    87 
24    1    9    67 
25    1    8    87 
26    0    8    86 
27    1    8    85 
28    1    9    65 
29    1    8    85 
30    1    9    65 
31    2    9    64 
32    1    9    65 
33    2    9    64 
34    2    8    84 
35    2    9    64 
36    2    8    84 
37    2    9    64 
38    2    10    44 
39    2    9    64 
40    2    10    44 
41    2    11    24 
42    3    11    23 
43    3    10    43 
44    4    10    42 
45    5    10    41 
46    5    9    61 
47    5    10    41 
48    5    9    61 
49    5    10    41 
50    5    9    61 
51    6    9    60 
52    6    10    40 
53    5    10    41 
54    6    10    40 
55    6    9    60 
56    6    8    80 
57    5    8    81 
58    5    9    61 
59    6    9    60 
60    5    9    61 
61    6    9    60 
62    5    9    61 
63    4    9    62 
64    5    9    61 
65    4    9    62 
66    4    8    82 
67    4    9    62 
68    5    9    61 
69    5    8    81 
70    5    7    101 
71    5    6    121 
72    6    6    120 
73    13    6    139 
74    13    5    159 
75    13    4    179 
76    13    5    159 
77    12    5    158 
78    13    5    159 
79    13    4    179 
80    6    4    160 
81    6    5    140 
82    6    4    160 
83    13    4    179 
84    13    5    159 
85    13    6    139 
86    6    6    120 
87    6    5    140 
88    6    4    160 
89    5    4    161 
90    5    5    141 
91    5    6    121 
92    4    6    122 
93    4    7    102 
94    4    8    82 
95    3    8    83 
96    3    9    63 
97    3    8    83 
98    3    7    103 
99    4    7    102 
100    3    7    103 
101    3    6    123 
102    4    6    122 
103    3    6    123 
104    3    7    103 
105    3    8    83 
106    3    9    63 
107    4    9    62 
108    5    9    61 
109    5    8    81 
110    6    8    80 
111    5    8    81 
112    6    8    80 
113    5    8    81 
114    5    9    61 
115    6    9    60 
116    13    9    79 
117    6    9    60 
118    5    9    61 
119    6    9    60 
120    5    9    61 
121    5    8    81 
122    5    9    61 
123    5    8    81 
124    4    8    82 
125    5    8    81 
126    5    7    101 
127    6    7    100 
128    5    7    101 
129    4    7    102 
130    5    7    101 
131    4    7    102 
132    3    7    103 
133    3    8    83 
134    4    8    82 
135    4    7    102 
136    4    6    122 
137    4    5    142 
138    4    4    162 
139    4    3    182 
140    3    3    183 
141    2    3    184 
142    2    4    164 
143    3    4    163 
144    3    3    183 
145    2    3    184 
146    1    3    185 
147    1    4    165 
148    0    4    166 
149    1    4    167 
150    2    4    168 
151    2    3    188 
152    2    2    208 
153    3    2    209 
154    3    3    189 
155    3    4    169 
156    2    4    168 
157    2    5    148 
158    1    5    147 
159    0    5    146 
160    1    5    145 
161    1    4    165 
162    2    4    164 
163    2    5    144 
164    2    6    124 
165    2    5    144 
166    3    5    143 
167    3    6    123 
168    3    5    143 
169    3    6    123 
170    3    5    143 
171    3    6    123 
172    3    5    143 
173    4    5    142 
174    5    5    141 
175    5    4    161 
176    4    4    162 
177    3    4    163 
178    2    4    164 
179    3    4    163 
180    3    3    183 
181    4    3    182 
182    3    3    183 
183    4    3    182 
184    4    4    162 
185    4    5    142 
186    3    5    143 
187    4    5    142 
188    5    5    141 
189    5    4    161 
190    5    3    181 
191    6    3    180 
192    5    3    181 
193    5    2    201 
194    6    2    200 
195    6    3    180 
196    6    4    160 
197    5    4    161 
198    4    4    162 
199    4    3    182 
200    4    4    162 
201    4    5    142 
202    3    5    143 
203    4    5    142 
204    5    5    141 
205    6    5    140 
206    5    5    141 
207    5    6    121 
208    4    6    122 
209    5    6    121 
210    5    5    141 
211    5    4    161 
212    5    5    141 
213    6    5    140 
214    5    5    141 
215    5    6    121 
216    4    6    122 
217    5    6    121 
218    5    5    141 
219    6    5    140 
220    6    4    160 
221    5    4    161 
222    6    4    160 
223    5    4    161 
224    5    5    141 
225    5    4    161 
226    6    4    160 
227    5    4    161 
228    5    5    141 
229    4    5    142 
230    4    6    122 
231    5    6    121 
232    5    7    101 
233    5    8    81 
234    5    9    61 
235    5    8    81 
236    6    8    80 
237    13    8    99 
238    13    9    79 
239    13    10    59 
240    13    11    39 
241    6    11    20 
242    13    11    39 
243    6    11    20 
244    6    10    40 
245    6    11    20 
246    6    12    0 
247    13    12    19 
248    13    11    39 
249    13    10    59 
250    13    11    39 
251    6    11    20 
252    6    10    40 
253    6    11    20 
254    5    11    21 
255    4    11    22 
256    5    11    21 
257    5    10    41 
258    4    10    42 
259    4    11    22 
260    4    10    42 
261    4    11    22 
262    3    11    23 
263    3    12    3 
264    3    7    383 
265    3    6    363 
266    4    6    362 
267    3    6    363 
268    3    5    343 
269    2    5    344 
270    3    5    343 
271    4    5    342 
272    3    5    343 
273    2    5    344 
274    2    4    324 
275    3    4    323 
276    2    4    324 
277    2    5    344 
278    3    5    343 
279    4    5    342 
280    4    4    322 
281    4    3    302 
282    4    4    322 
283    4    5    342 
284    4    4    322 
285    3    4    323 
286    3    3    303 
287    4    3    302 
288    4    4    322 
289    5    4    321 
290    5    5    341 
291    6    5    340 
292    5    5    341 
293    4    5    342 
294    4    4    322 
295    4    3    302 
296    3    3    303 
297    2    3    304 
298    1    3    305 
299    1    4    325 
300    1    5    345 
301    0    5    346 
302    0    6    366 
303    0    7    386 
304    1    7    385 
305    1    12    5 
306    2    12    4 
307    3    12    3 
