# caminhante aleatório em matriz 20x20 
# tempo  x   y   sítio 
0    7    7    147 
1    6    7    146 
2    5    7    145 
3    5    8    165 
4    5    9    185 
5    5    10    205 
6    5    11    225 
7    5    12    245 
8    5    13    265 
9    4    13    264 
10    3    13    263 
11    4    13    264 
12    3    13    263 
13    3    12    243 
14    3    13    263 
15    3    14    283 
16    3    13    263 
17    2    13    262 
18    3    13    263 
19    2    13    262 
20    2    14    282 
21    2    15    302 
22    2    16    322 
23    1    16    321 
24    1    15    301 
25    0    15    300 
26    0    16    320 
27    0    15    300 
28    0    14    280 
29    1    14    281 
30    1    13    261 
31    1    12    241 
32    1    13    261 
33    2    13    262 
34    2    12    242 
35    2    13    262 
36    2    12    242 
37    1    12    241 
38    1    13    261 
39    1    14    281 
40    1    13    261 
41    0    13    260 
42    0    14    280 
43    19    14    299 
44    0    14    280 
45    19    14    299 
46    19    13    279 
47    0    13    260 
48    0    12    240 
49    0    13    260 
50    1    13    261 
51    2    13    262 
52    3    13    263 
53    3    12    243 
54    3    13    263 
55    3    12    243 
56    2    12    242 
57    2    11    222 
58    3    11    223 
59    4    11    224 
60    5    11    225 
61    5    12    245 
62    5    11    225 
63    5    10    205 
64    5    11    225 
65    4    11    224 
66    4    10    204 
67    5    10    205 
68    6    10    206 
69    7    10    207 
70    6    10    206 
71    7    10    207 
72    8    10    208 
73    9    10    209 
74    9    9    189 
75    9    8    169 
76    9    7    149 
77    9    8    169 
78    8    8    168 
79    8    9    188 
80    8    8    168 
81    8    9    188 
82    8    10    208 
83    8    9    188 
84    9    9    189 
85    8    9    188 
86    9    9    189 
87    9    8    169 
88    9    9    189 
89    10    9    190 
90    11    9    191 
91    11    10    211 
92    11    11    231 
93    10    11    230 
94    11    11    231 
95    10    11    230 
96    11    11    231 
97    11    10    211 
98    11    9    191 
99    12    9    192 
100    12    10    212 
101    12    9    192 
102    11    9    191 
103    11    10    211 
104    10    10    210 
105    10    11    230 
106    10    10    210 
107    10    9    190 
108    10    8    170 
109    10    9    190 
110    9    9    189 
111    9    8    169 
112    8    8    168 
113    8    9    188 
114    8    10    208 
115    8    11    228 
116    7    11    227 
117    8    11    228 
118    9    11    229 
119    10    11    230 
120    10    12    250 
121    11    12    251 
122    11    13    271 
123    12    13    272 
124    12    14    292 
125    13    14    293 
126    14    14    294 
127    14    13    274 
128    15    13    275 
129    16    13    276 
130    15    13    275 
131    16    13    276 
132    17    13    277 
133    16    13    276 
134    16    12    256 
135    16    13    276 
136    17    13    277 
137    17    12    257 
138    17    11    237 
139    18    11    238 
140    19    11    239 
141    19    10    219 
142    18    10    218 
143    18    11    238 
144    17    11    237 
145    18    11    238 
146    18    10    218 
147    18    11    238 
148    18    12    258 
149    18    11    238 
150    18    10    218 
151    17    10    217 
152    18    10    218 
153    19    10    219 
154    18    10    218 
155    17    10    217 
156    17    9    197 
157    18    9    198 
158    18    10    218 
159    18    11    238 
160    17    11    237 
161    17    12    257 
162    17    13    277 
163    18    13    278 
164    18    12    258 
165    18    13    278 
166    17    13    277 
167    17    12    257 
168    18    12    258 
169    19    12    259 
170    18    12    258 
171    19    12    259 
172    18    12    258 
173    17    12    257 
174    17    11    237 
175    16    11    236 
176    16    12    256 
177    15    12    255 
178    14    12    254 
179    15    12    255 
180    16    12    256 
181    15    12    255 
182    14    12    254 
183    14    11    234 
184    15    11    235 
185    15    10    215 
186    16    10    216 
187    16    11    236 
188    17    11    237 
189    17    10    217 
190    18    10    218 
191    18    9    198 
192    17    9    197 
193    17    8    177 
194    16    8    176 
195    16    7    156 
196    16    6    136 
197    17    6    137 
198    17    5    117 
199    17    4    97 
200    17    3    77 
201    16    3    76 
202    15    3    75 
203    14    3    74 
204    14    2    54 
205    14    1    34 
206    13    1    33 
207    13    2    53 
208    14    2    54 
209    14    1    34 
210    13    1    33 
211    14    1    34 
212    14    2    54 
213    14    1    34 
214    13    1    33 
215    13    0    13 
216    13    1    33 
217    13    0    13 
218    13    19    393 
219    13    0    13 
220    13    19    393 
221    13    18    373 
222    12    18    372 
223    12    19    392 
224    12    0    12 
225    12    1    32 
226    12    2    52 
227    12    3    72 
228    11    3    71 
229    10    3    70 
230    9    3    69 
231    9    2    49 
232    10    2    50 
233    10    3    70 
234    10    4    90 
235    10    3    70 
236    10    2    50 
237    9    2    49 
238    9    3    69 
239    9    2    49 
240    9    3    69 
241    8    3    68 
242    8    4    88 
243    8    3    68 
244    9    3    69 
245    10    3    70 
246    10    4    90 
247    11    4    91 
248    11    3    71 
249    10    3    70 
250    11    3    71 
251    11    2    51 
252    10    2    50 
253    10    3    70 
254    10    4    90 
255    11    4    91 
256    11    3    71 
257    11    2    51 
258    12    2    52 
259    12    3    72 
260    12    4    92 
261    13    4    93 
262    13    5    113 
263    13    4    93 
264    14    4    94 
265    13    4    93 
266    13    3    73 
267    14    3    74 
268    13    3    73 
269    14    3    74 
270    13    3    73 
271    13    4    93 
272    13    5    113 
273    13    4    93 
274    12    4    92 
275    13    4    93 
276    14    4    94 
277    14    5    114 
278    13    5    113 
279    13    6    133 
280    12    6    132 
281    12    5    112 
282    12    6    132 
283    13    6    133 
284    12    6    132 
285    11    6    131 
286    11    7    151 
287    11    8    171 
288    11    7    151 
289    11    6    131 
290    10    6    130 
291    11    6    131 
292    10    6    130 
293    10    5    110 
294    9    5    109 
295    9    4    89 
296    10    4    90 
297    10    3    70 
298    10    2    50 
299    10    3    70 
300    10    2    50 
301    10    1    30 
302    10    0    10 
303    10    1    30 
304    10    0    10 
305    10    19    390 
306    11    19    391 
307    11    0    11 
308    11    1    31 
309    12    1    32 
310    12    2    52 
311    11    2    51 
312    11    1    31 
313    10    1    30 
314    9    1    29 
315    10    1    30 
316    10    0    10 
317    11    0    11 
318    11    1    31 
319    11    2    51 
320    11    1    31 
321    11    2    51 
322    12    2    52 
323    13    2    53 
324    13    3    73 
325    13    4    93 
326    14    4    94 
327    14    3    74 
328    14    2    54 
329    14    1    34 
330    15    1    35 
331    15    0    15 
332    16    0    16 
333    17    0    17 
334    18    0    18 
335    18    19    398 
336    18    0    18 
337    18    19    398 
338    17    19    397 
339    16    19    396 
340    16    0    16 
341    16    1    36 
342    17    1    37 
343    17    2    57 
344    17    1    37 
345    18    1    38 
346    19    1    39 
347    19    2    59 
348    19    1    39 
349    19    2    59 
350    18    2    58 
351    18    1    38 
352    18    0    18 
353    18    19    398 
354    19    19    399 
355    0    19    380 
356    1    19    381 
357    0    19    380 
358    0    18    360 
359    0    17    340 
360    0    16    320 
361    0    17    340 
362    1    17    341 
363    1    18    361 
364    1    17    341 
365    2    17    342 
366    2    16    322 
367    1    16    321 
368    2    16    322 
369    2    15    302 
370    2    14    282 
371    2    15    302 
372    1    15    301 
373    0    15    300 
374    19    15    319 
375    19    16    339 
376    18    16    338 
377    19    16    339 
378    19    17    359 
379    0    17    340 
380    19    17    359 
381    19    18    379 
382    18    18    378 
383    17    18    377 
384    16    18    376 
385    15    18    375 
386    14    18    374 
387    13    18    373 
388    13    17    353 
389    13    16    333 
390    14    16    334 
391    14    15    314 
392    15    15    315 
393    15    16    335 
394    15    17    355 
395    15    16    335 
396    16    16    336 
397    16    15    316 
398    17    15    317 
399    17    14    297 
400    18    14    298 
401    17    14    297 
402    18    14    298 
403    19    14    299 
404    18    14    298 
405    19    14    299 
406    19    13    279 
407    19    12    259 
408    0    12    240 
409    0    13    260 
410    19    13    279 
411    19    14    299 
412    0    14    280 
413    0    13    260 
414    19    13    279 
415    19    14    299 
416    19    15    319 
417    19    14    299 
418    19    15    319 
419    0    15    300 
420    0    16    320 
421    19    16    339 
422    19    15    319 
423    19    14    299 
424    0    14    280 
425    1    14    281 
426    2    14    282 
427    2    15    302 
428    3    15    303 
429    2    15    302 
430    1    15    301 
431    1    16    321 
432    1    17    341 
433    2    17    342 
434    1    17    341 
435    2    17    342 
436    2    16    322 
437    2    17    342 
438    2    16    322 
439    2    17    342 
440    1    17    341 
441    2    17    342 
442    2    16    322 
443    3    16    323 
444    3    15    303 
445    2    15    302 
446    1    15    301 
447    2    15    302 
448    2    16    322 
449    1    16    321 
450    1    15    301 
451    2    15    302 
452    1    15    301 
453    1    14    281 
454    1    13    261 
455    1    12    241 
456    0    12    240 
457    19    12    259 
458    0    12    240 
459    0    11    220 
460    0    12    240 
461    19    12    259 
462    19    13    279 
463    19    14    299 
464    19    15    319 
465    18    15    318 
466    18    16    338 
467    18    15    318 
468    19    15    319 
469    19    16    339 
470    19    15    319 
471    18    15    318 
472    17    15    317 
473    17    16    337 
474    16    16    336 
475    16    17    356 
476    16    18    376 
477    16    17    356 
478    16    18    376 
479    16    17    356 
480    16    16    336 
481    15    16    335 
482    16    16    336 
483    15    16    335 
484    14    16    334 
485    14    15    314 
486    15    15    315 
487    14    15    314 
488    13    15    313 
489    13    14    293 
490    12    14    292 
491    11    14    291 
492    12    14    292 
493    11    14    291 
494    11    13    271 
495    12    13    272 
496    13    13    273 
497    13    12    253 
498    13    13    273 
499    13    14    293 
500    14    14    294 
501    14    15    314 
502    13    15    313 
503    12    15    312 
504    13    15    313 
505    13    14    293 
506    12    14    292 
507    13    14    293 
508    12    14    292 
509    12    15    312 
510    11    15    311 
511    10    15    310 
512    11    15    311 
513    12    15    312 
514    11    15    311 
515    11    16    331 
516    10    16    330 
517    10    17    350 
518    11    17    351 
519    12    17    352 
520    12    16    332 
521    12    17    352 
522    11    17    351 
523    10    17    350 
524    11    17    351 
525    12    17    352 
526    12    18    372 
527    13    18    373 
528    14    18    374 
529    14    17    354 
530    13    17    353 
531    13    16    333 
532    12    16    332 
533    11    16    331 
534    12    16    332 
535    12    17    352 
536    12    18    372 
537    12    19    392 
538    13    19    393 
539    13    0    13 
540    13    1    33 
541    14    1    34 
542    15    1    35 
543    16    1    36 
544    16    0    16 
