# caminhante aleatório em matriz 20x20 
# tempo  x   y   sítio 
0    8    12    248 
1    9    12    249 
2    10    12    250 
3    10    11    230 
4    11    11    231 
5    10    11    230 
6    10    10    210 
7    9    10    209 
8    8    10    208 
9    7    10    207 
10    8    10    208 
11    8    11    228 
12    7    11    227 
13    8    11    228 
14    9    11    229 
15    9    12    249 
16    10    12    250 
17    9    12    249 
18    9    11    229 
19    9    10    209 
20    8    10    208 
21    8    11    228 
22    7    11    227 
23    6    11    226 
24    6    10    206 
25    7    10    207 
26    8    10    208 
27    8    9    188 
28    8    8    168 
29    8    7    148 
30    8    8    168 
31    8    7    148 
32    7    7    147 
33    7    8    167 
34    7    9    187 
35    8    9    188 
36    9    9    189 
37    8    9    188 
38    9    9    189 
39    9    10    209 
40    9    9    189 
41    9    10    209 
42    10    10    210 
43    9    10    209 
44    10    10    210 
45    9    10    209 
46    9    11    229 
47    9    10    209 
48    9    11    229 
49    10    11    230 
50    11    11    231 
51    12    11    232 
52    12    10    212 
53    11    10    211 
54    10    10    210 
55    10    11    230 
56    10    12    250 
57    10    11    230 
58    11    11    231 
59    11    10    211 
60    10    10    210 
61    10    11    230 
62    11    11    231 
63    12    11    232 
64    12    10    212 
65    12    9    192 
66    12    10    212 
67    12    11    232 
68    12    10    212 
69    12    11    232 
70    11    11    231 
71    11    10    211 
72    11    9    191 
73    10    9    190 
74    11    9    191 
75    11    10    211 
76    12    10    212 
77    13    10    213 
78    12    10    212 
79    12    11    232 
80    12    10    212 
81    12    11    232 
82    12    10    212 
83    11    10    211 
84    11    11    231 
85    12    11    232 
86    12    10    212 
87    11    10    211 
88    11    11    231 
89    11    10    211 
90    12    10    212 
91    13    10    213 
92    14    10    214 
93    14    9    194 
94    15    9    195 
95    16    9    196 
96    16    8    176 
97    16    7    156 
98    15    7    155 
99    16    7    156 
100    16    6    136 
101    16    7    156 
102    16    8    176 
103    17    8    177 
104    17    9    197 
105    17    10    217 
106    17    9    197 
107    16    9    196 
108    15    9    195 
109    15    10    215 
110    15    11    235 
111    16    11    236 
112    16    10    216 
113    15    10    215 
114    14    10    214 
115    14    9    194 
116    13    9    193 
117    13    8    173 
118    13    9    193 
119    12    9    192 
120    12    8    172 
121    12    9    192 
122    12    8    172 
123    13    8    173 
124    14    8    174 
125    14    7    154 
126    13    7    153 
127    13    6    133 
128    13    5    113 
129    12    5    112 
130    13    5    113 
131    13    4    93 
132    12    4    92 
133    13    4    93 
134    13    3    73 
135    12    3    72 
136    13    3    73 
137    12    3    72 
138    12    4    92 
139    13    4    93 
140    13    5    113 
141    13    6    133 
142    14    6    134 
143    14    7    154 
144    15    7    155 
145    14    7    154 
146    14    6    134 
147    14    7    154 
148    13    7    153 
149    14    7    154 
150    15    7    155 
151    14    7    154 
152    13    7    153 
153    14    7    154 
154    14    6    134 
155    14    5    114 
156    13    5    113 
157    13    4    93 
158    13    5    113 
159    13    6    133 
