# Média da estimativa de pi pelo método sem rejeição após 1000000 passos
# amostra    seed    pi/4
0    1688596281.1441104    0.7878182121817878
1    1688596358.1791947    0.7857482142517858
2    1688596444.4170985    0.7856492143507856
3    1688596532.8920543    0.7881092118907881
4    1688596620.9566324    0.787994212005788
5    1688596716.4376922    0.784987215012785
6    1688596823.5703373    0.7835342164657836
7    1688596931.6937346    0.7864112135887864
8    1688597041.5293663    0.7884732115267885
9    1688597136.7985208    0.7866022133977866
10    1688597231.9764428    0.7858352141647859
11    1688597337.7346816    0.7863962136037864
12    1688597437.7619176    0.7846312153687847
13    1688597533.4950345    0.7858052141947858
14    1688597629.0899167    0.7859412140587859
15    1688597723.9846308    0.7845402154597846
16    1688597819.4518304    0.7873872126127874
17    1688597914.5917063    0.7873692126307874
18    1688598010.048466    0.787012212987787
19    1688598105.3901725    0.7847202152797847
20    1688598201.896386    0.7858952141047859
21    1688598298.659371    0.7847992152007848
22    1688598394.6325786    0.7831292168707832
23    1688598490.8527122    0.787014212985787
24    1688598587.3129494    0.784982215017785
25    1688598682.7819026    0.7861972138027862
26    1688598779.3661747    0.7845982154017846
27    1688598876.8515732    0.7846852153147846
28    1688598963.8217669    0.7855712144287855
29    1688599050.7925138    0.7846532153467847
30    1688599137.673215    0.7877722122277878
31    1688599239.1269395    0.7865092134907865
32    1688599350.3339543    0.7849332150667849
33    1688599451.5988312    0.7882502117497883
34    1688599552.228449    0.7851762148237852
35    1688599652.4400396    0.7857312142687858
36    1688599754.2300172    0.7864752135247864
37    1688599855.3538198    0.7866142133857866
38    1688599950.5843556    0.7856072143927856
39    1688600046.3401604    0.7870332129667871
40    1688600143.1576853    0.7850832149167851
41    1688600239.1677992    0.7834542165457834
42    1688600330.1071558    0.7872522127477872
43    1688600421.182249    0.788945211054789
44    1688600511.926175    0.7875542124457876
45    1688600603.3464391    0.7814092185907814
46    1688600694.5137973    0.7861622138377862
47    1688600791.4624205    0.7847332152667847
48    1688600886.2723346    0.7874342125657874
49    1688600982.0071585    0.782987217012783
50    1688601077.5775616    0.784943215056785
51    1688601172.578401    0.782984217015783
52    1688601268.8903084    0.7868022131977868
53    1688601364.2683718    0.7837692162307838
54    1688601459.425141    0.7828922171077829
55    1688601554.3493578    0.784997215002785
56    1688601648.5247984    0.7837602162397838
57    1688601738.7224956    0.7868342131657868
58    1688601828.992498    0.7848982151017849
59    1688601920.1783392    0.7804632195367804
60    1688602010.5554466    0.7856842143157857
61    1688602101.4109356    0.7837612162387838
62    1688602191.3816648    0.7894442105557894
63    1688602284.7762814    0.786017213982786
64    1688602377.4445155    0.7873152126847873
65    1688602470.4710147    0.786968213031787
66    1688602563.3459585    0.7826822173177826
67    1688602656.2172358    0.7855242144757856
68    1688602748.890223    0.7871322128677871
69    1688602843.8684006    0.7822502177497822
70    1688602936.8898003    0.7866302133697867
71    1688603032.732112    0.7886412113587886
72    1688603129.8865147    0.7832712167287833
73    1688603231.4488883    0.7868772131227869
74    1688603328.3517065    0.7849812150187849
75    1688603422.4045353    0.785995214004786
76    1688603516.8054814    0.7845722154277845
77    1688603611.184471    0.7831982168017833
78    1688603706.3536038    0.7884772115227885
79    1688603800.6341083    0.7863482136517863
80    1688603895.3039432    0.7848502151497848
81    1688603990.508894    0.7831702168297832
82    1688604090.9718003    0.7868012131987868
83    1688604196.267075    0.7833862166137834
84    1688604295.2046854    0.7878122121877879
85    1688604396.6105807    0.7846672153327847
86    1688604494.9251215    0.7873642126357874
87    1688604591.8138871    0.7878782121217879
88    1688604688.354073    0.7824202175797824
89    1688604788.5260112    0.7883722116277884
90    1688604883.2158985    0.787043212956787
91    1688604977.7677712    0.7875792124207875
92    1688605073.407418    0.7868742131257869
93    1688605163.8266606    0.7857262142737858
94    1688605254.2621746    0.7832062167937832
95    1688605344.4596639    0.7835592164407835
96    1688605435.0106087    0.7856452143547856
97    1688605526.4619615    0.7872332127667873
98    1688605619.0572941    0.7850252149747851
99    1688605709.757156    0.7863092136907863
