# M�dia da estimativa de pi pelo m�todo com rejei��o ap�s 1000000 passos
# amostra    seed    pi/4
4    1688652717.3020177    0.8083281916718084
5    1688652727.919075    0.8116471883528117
6    1688652738.4988086    0.8122471877528122
7    1688652749.1302052    0.8109291890708109
8    1688652759.7411044    0.8122821877178122
9    1688652771.1557753    0.8105181894818105
10    1688652782.0550878    0.8124851875148125
11    1688652793.7017298    0.80996219003781
12    1688652805.1936066    0.8113501886498113
13    1688652817.0664008    0.813009186990813
14    1688652827.9453316    0.8112441887558113
15    1688652838.7680914    0.8106861893138106
16    1688652849.4205837    0.8112601887398112
17    1688652860.0181456    0.8104691895308105
18    1688652870.5719793    0.8103171896828103
19    1688652881.2085993    0.8139381860618139
20    1688652891.827419    0.811947188052812
21    1688652902.306458    0.8111101888898111
22    1688652912.7975178    0.8117181882818117
23    1688652923.3104353    0.8122841877158122
24    1688652933.8237634    0.8133021866978133
25    1688652944.449472    0.8123491876508123
26    1688652954.8947334    0.8101951898048102
27    1688652965.4220352    0.8129701870298129
28    1688652975.9912605    0.811003188996811
29    1688652986.5300465    0.8076331923668076
30    1688652997.0424826    0.8109121890878109
31    1688653007.6637325    0.8117801882198118
32    1688653018.249128    0.813001186998813
33    1688653028.8391623    0.8097161902838097
34    1688653039.419033    0.80993319006681
35    1688653049.9990213    0.8107611892388108
36    1688653060.5641735    0.8131421868578131
37    1688653071.1247785    0.8095201904798095
38    1688653081.9730535    0.8094511905488094
39    1688653092.6310046    0.8135161864838135
40    1688653103.2733583    0.8116281883718116
41    1688653113.8743267    0.8101271898728101
42    1688653124.4266286    0.8107781892218108
43    1688653135.0197308    0.81002818997181
44    1688653145.615066    0.8133261866738133
45    1688653156.1467628    0.8111361888638111
46    1688653166.8702667    0.8121841878158121
47    1688653178.6737404    0.8104801895198105
48    1688653190.5243251    0.8111241888758112
49    1688653202.4000766    0.8106691893308107
50    1688653212.9889927    0.81004718995281
51    1688653223.57654    0.8099471900528099
52    1688653234.204808    0.8104311895688104
53    1688653244.7367504    0.8102611897388102
54    1688653255.4048836    0.8119681880318119
55    1688653265.9979444    0.8113731886268114
56    1688653276.6257348    0.8101701898298102
57    1688653287.3734233    0.8110921889078111
58    1688653297.9760447    0.8109161890838109
59    1688653308.5908537    0.8122061877938122
60    1688653319.1650462    0.8093091906908093
61    1688653329.7327523    0.8098011901988098
62    1688653340.4277697    0.8083311916688083
63    1688653351.0411773    0.8092891907108093
64    1688653361.6278021    0.8121901878098122
65    1688653372.2008028    0.8100971899028101
66    1688653382.693996    0.8111351888648112
67    1688653393.275156    0.8124341875658124
68    1688653403.8724802    0.8115951884048116
69    1688653414.501046    0.8124311875688124
70    1688653425.2408147    0.8111371888628112
71    1688653435.921335    0.8101821898178102
72    1688653446.4163408    0.8097761902238098
73    1688653456.912885    0.8094161905838094
74    1688653468.3637395    0.8105761894238106
75    1688653480.1808019    0.8107361892638107
76    1688653491.9945524    0.8116961883038117
77    1688653503.847569    0.8120891879108121
78    1688653514.8894362    0.8115811884188115
79    1688653525.4706676    0.8107691892308108
80    1688653536.1599538    0.810926189073811
81    1688653546.6614802    0.8138501861498139
82    1688653557.12339    0.811971188028812
83    1688653568.2052274    0.8114021885978114
84    1688653578.9839072    0.8100811899188101
85    1688653589.4574773    0.8122241877758122
86    1688653599.9742196    0.8117491882508118
87    1688653610.5636308    0.8097301902698097
88    1688653621.093309    0.8114341885658114
89    1688653631.6128445    0.8097811902188098
90    1688653642.1297565    0.8096061903938097
91    1688653652.730123    0.8097521902478098
92    1688653664.582325    0.8142661857338143
93    1688653676.2166376    0.8102041897958102
94    1688653686.787523    0.8103401896598104
95    1688653697.3833702    0.813988186011814
96    1688653708.0602849    0.8134611865388135
97    1688653718.6862788    0.80999119000881
98    1688653729.2916055    0.8114561885438114
99    1688653739.7756364    0.8087671912328087
# Média da estimativa final de pi pelo método com rejeição após 1000000 passos
# amostra    seed    pi/4
0    1688653882.6187882    0.8109051890948109
1    1688653893.1899984    0.8101521898478101
2    1688653903.7210143    0.8102721897278102
3    1688653914.4665687    0.8105471894528106
4    1688653926.30065    0.8102421897578103
5    1688653937.2707026    0.8115131884868115
6    1688653947.8851926    0.8139041860958139
7    1688653958.5209866    0.8127391872608127
8    1688653969.161758    0.8112441887558113
9    1688653979.7556052    0.8077071922928077
10    1688653990.3913896    0.8135621864378135
11    1688654001.0947442    0.8087711912288088
12    1688654011.792517    0.8102331897668102
13    1688654022.6249452    0.8088631911368088
14    1688654033.3295271    0.8113551886448114
15    1688654043.9823782    0.8109111890888109
16    1688654054.6115613    0.8101111898888101
17    1688654065.3862395    0.8102391897608102
18    1688654076.0475576    0.8124921875078125
19    1688654086.7378151    0.808940191059809
20    1688654097.4962125    0.8125871874128126
21    1688654108.2053604    0.8112581887418112
22    1688654118.9250937    0.8119351880648119
23    1688654129.6023028    0.8113751886248114
24    1688654140.3092256    0.8087341912658087
25    1688654151.038578    0.8103851896148104
26    1688654161.820883    0.8095231904768095
27    1688654172.634063    0.8105191894808105
28    1688654183.522792    0.8147601852398147
29    1688654194.198825    0.81004118995881
30    1688654204.8678916    0.80998819001181
31    1688654215.532809    0.811043188956811
32    1688654226.2165961    0.8098631901368099
33    1688654236.8905306    0.810948189051811
34    1688654247.5682855    0.8080611919388081
35    1688654258.3553355    0.8115831884168115
36    1688654269.0464585    0.8112411887588112
37    1688654279.6892328    0.8095701904298096
38    1688654290.355082    0.8104081895918104
39    1688654300.9929273    0.8106021893978106
40    1688654311.6410306    0.8116741883258117
41    1688654322.2841184    0.810968189031811
42    1688654332.9670792    0.8102811897188102
43    1688654343.669072    0.8138501861498139
44    1688654354.3832605    0.8121071878928121
45    1688654365.0846963    0.8129101870898129
46    1688654376.0012314    0.8080671919328081
47    1688654386.7129836    0.8116571883428116
48    1688654397.3885489    0.8111891888108111
49    1688654408.5868871    0.8106191893808106
50    1688654419.8034887    0.8124451875548124
51    1688654430.5175474    0.8106561893438107
52    1688654441.4543989    0.8093881906118093
53    1688654452.3694468    0.8103111896888103
54    1688654463.085651    0.8096831903168097
55    1688654473.905137    0.8112331887668113
56    1688654484.6805515    0.8092061907938092
57    1688654496.5700686    0.8108571891428109
58    1688654508.5333378    0.8110811889188111
59    1688654519.434881    0.8123401876598123
60    1688654530.125496    0.8126761873238126
61    1688654540.7687662    0.8116781883218117
62    1688654551.5794837    0.8114141885858114
63    1688654562.273417    0.8106801893198107
64    1688654573.0171466    0.8115831884168115
65    1688654583.75768    0.8088201911798089
66    1688654594.4206088    0.8103121896878103
67    1688654605.0272868    0.8139281860718139
68    1688654615.597413    0.8092221907778092
69    1688654626.2380927    0.813995186004814
70    1688654637.208521    0.8095041904958095
71    1688654648.3956487    0.8108911891088109
72    1688654659.1321018    0.8114931885068115
73    1688654669.8749537    0.8105951894048106
74    1688654680.6118376    0.8093271906728093
75    1688654691.3624775    0.8118921881078119
76    1688654702.0897937    0.8107291892708107
77    1688654712.7010417    0.8084071915928084
78    1688654723.4174075    0.8114891885108115
79    1688654734.1270416    0.8134551865448134
80    1688654744.7902045    0.8115831884168115
81    1688654755.565241    0.8118081881918118
82    1688654766.3462985    0.8124381875618124
83    1688654778.2080278    0.813024186975813
84    1688654790.0575955    0.8115941884058115
85    1688654801.9300997    0.8097491902508097
86    1688654812.7467976    0.8096721903278097
87    1688654823.8158426    0.8096781903218097
88    1688654835.2556052    0.809009190990809
89    1688654845.9096234    0.8112311887688113
90    1688654856.6452918    0.8111151888848112
91    1688654867.2962928    0.8104061895938104
92    1688654877.9896803    0.8115771884228116
93    1688654888.6654315    0.8116801883198117
94    1688654899.658473    0.8109491890508109
95    1688654910.5497556    0.8090601909398091
96    1688654921.248208    0.8097471902528097
97    1688654931.9786587    0.8107951892048108
98    1688654942.673415    0.8104981895018105
99    1688654953.352615    0.8123471876528123
100    1688654964.0434544    0.8114601885398115
101    1688654974.6621923    0.8114041885958114
102    1688654985.2535648    0.8134001865998134
103    1688654995.8741918    0.8121821878178122
104    1688655006.5127363    0.80997419002581
105    1688655017.2034152    0.8092791907208092
106    1688655027.8821821    0.8083101916898083
107    1688655038.5865047    0.811000188999811
108    1688655049.2212179    0.8092561907438093
109    1688655059.8139453    0.8119661880338119
110    1688655070.4614923    0.8119071880928119
111    1688655081.098689    0.8136521863478137
112    1688655091.7648253    0.8109931890068109
113    1688655102.5410624    0.8093241906758093
114    1688655113.2066169    0.8107521892478108
115    1688655123.8582165    0.8142371857628142
116    1688655134.4668345    0.8096581903418096
117    1688655145.1481922    0.812031187968812
118    1688655155.799356    0.8094081905918095
119    1688655166.4281397    0.8094501905498095
120    1688655177.0626793    0.8106381893618106
121    1688655187.7207122    0.8115901884098116
122    1688655198.380646    0.8118471881528119
123    1688655209.1081917    0.8104391895608104
124    1688655219.788098    0.8112171887828112
125    1688655230.5137026    0.8078651921348079
126    1688655241.2103415    0.8105591894408105
127    1688655252.041556    0.8108861891138109
128    1688655262.8112164    0.8126891873108127
129    1688655273.50698    0.8095921904078096
130    1688655284.233137    0.8113121886878113
131    1688655294.9228997    0.8088551911448089
132    1688655305.653578    0.8130621869378131
133    1688655316.3317428    0.8112611887388113
134    1688655326.9737098    0.8095811904188096
135    1688655337.652519    0.8093281906718093
136    1688655348.3430521    0.8104321895678104
137    1688655358.9745843    0.8107111892888107
138    1688655369.631435    0.8106541893458107
139    1688655380.2697406    0.8117911882088118
140    1688655390.9289632    0.8086861913138087
141    1688655401.504355    0.8106241893758106
142    1688655412.1751897    0.8100791899208101
143    1688655422.9405777    0.8102551897448103
144    1688655433.7242742    0.8114281885718114
145    1688655444.4559407    0.8116761883238117
146    1688655455.2505114    0.8106591893408106
