# mcs  energy  magnetization 
0  -2.0  1.0 
1  -1.7496  -0.785 
2  -1.5232  0.585 
3  -1.2964  -0.429 
4  -1.0928  0.2838 
5  -0.878  -0.1838 
6  -0.756  0.0512 
7  -0.5896  0.0022 
8  -0.542  -0.002 
9  -0.5108  0.0154 
10  -0.4604  -0.021 
11  -0.4744  -0.019 
12  -0.4684  -0.0038 
13  -0.4748  -0.0014 
14  -0.4768  -0.0124 
15  -0.4392  0.0158 
16  -0.4472  -0.0072 
17  -0.4452  -0.0054 
18  -0.4376  -0.0078 
19  -0.424  0.0278 
20  -0.4212  -0.0018 
21  -0.4384  0.0212 
22  -0.4088  -0.0156 
23  -0.4508  0.014 
24  -0.4388  0.0028 
25  -0.454  -0.0068 
26  -0.4352  -0.028 
27  -0.4196  -0.0132 
28  -0.4272  -0.002 
29  -0.4004  -0.017 
30  -0.4164  -0.0222 
31  -0.4216  -0.0202 
32  -0.4204  0.0084 
33  -0.4348  0.0156 
34  -0.4124  0.0344 
35  -0.42  -0.0432 
36  -0.4124  0.0266 
37  -0.4436  -0.0138 
38  -0.3956  0.0184 
39  -0.4144  0.0032 
40  -0.4424  -0.0288 
41  -0.4308  -0.0018 
42  -0.4372  0.004 
43  -0.4412  -0.0292 
44  -0.4268  -0.0144 
45  -0.4268  -0.016 
46  -0.4356  0.0266 
47  -0.4416  -0.017 
48  -0.4364  0.0028 
49  -0.4016  -0.0102 
50  -0.4276  -0.0028 
51  -0.4188  0.0074 
52  -0.4008  -0.0174 
53  -0.3936  -0.011 
54  -0.4128  0.0084 
55  -0.4156  -0.0188 
56  -0.45  -0.0134 
57  -0.4244  -0.0026 
58  -0.4392  0.0334 
59  -0.4584  -0.0198 
60  -0.4492  0.0062 
61  -0.4468  -0.0014 
62  -0.4608  0.0086 
63  -0.4504  0.0148 
64  -0.452  0.0008 
65  -0.422  0.0072 
66  -0.4072  -0.0168 
67  -0.4308  0.0082 
68  -0.4236  -0.0116 
69  -0.4324  0.0044 
70  -0.3992  -0.0112 
71  -0.4376  0.0018 
72  -0.4344  0.0068 
73  -0.4268  -0.0296 
74  -0.4212  -0.01 
75  -0.4332  -0.0348 
76  -0.4284  -0.0096 
77  -0.4272  -0.0014 
78  -0.4108  -0.0086 
79  -0.4044  0.0154 
80  -0.4184  0.0012 
81  -0.4476  -0.0076 
82  -0.4268  -0.002 
83  -0.4252  -0.0078 
84  -0.4356  0.0106 
85  -0.4372  -0.0254 
86  -0.428  0.007 
87  -0.4264  -0.0106 
88  -0.4248  0.0218 
89  -0.4236  -0.0002 
90  -0.4084  -0.0164 
91  -0.4052  -0.0202 
92  -0.424  0.0162 
93  -0.42  0.004 
94  -0.42  0.002 
95  -0.4244  -0.0018 
96  -0.4068  0.01 
97  -0.4224  0.0132 
98  -0.4248  0.0102 
99  -0.4192  0.008 
100  -0.4172  -0.022 
101  -0.428  -0.0154 
102  -0.4192  -0.001 
103  -0.436  -0.0002 
104  -0.4452  0.0076 
105  -0.45  0.005 
106  -0.4284  0.0284 
107  -0.4388  0.0096 
108  -0.4204  -0.012 
109  -0.436  0.0094 
110  -0.4432  0.02 
111  -0.4364  -0.0006 
112  -0.4148  0.0184 
113  -0.418  -0.0026 
114  -0.4316  -0.0082 
115  -0.4208  0.04 
116  -0.4156  0.0026 
117  -0.4208  0.001 
118  -0.4332  -0.0044 
119  -0.422  0.0238 
120  -0.416  -0.012 
121  -0.428  -0.017 
122  -0.4428  -0.0196 
123  -0.4496  -0.0142 
124  -0.454  0.0024 
125  -0.448  0.006 
126  -0.434  0.0018 
127  -0.4128  -0.0026 
128  -0.4176  -0.0242 
129  -0.4248  0.0242 
130  -0.4108  0.0276 
131  -0.3972  0.0082 
