# mcs  energy  magnetization 
0  -0.004  -0.013 
1  -0.3804  -0.0092 
2  -0.5696  -0.0174 
3  -0.6756  -0.0404 
4  -0.7252  -0.0112 
5  -0.768  -0.0214 
6  -0.7872  0.0066 
7  -0.772  0.0052 
8  -0.7752  -0.0302 
9  -0.7964  -0.0292 
10  -0.8156  -0.053 
11  -0.8172  -0.01 
12  -0.8196  -0.0222 
13  -0.7788  -0.0236 
14  -0.8024  -0.0846 
15  -0.8212  -0.0724 
16  -0.804  -0.0812 
17  -0.8192  -0.0768 
18  -0.7832  -0.0224 
19  -0.8324  0.008 
20  -0.84  -0.0018 
21  -0.8128  0.0048 
22  -0.806  0.0084 
23  -0.8124  0.017 
24  -0.7884  0.0222 
25  -0.83  0.0242 
26  -0.836  0.049 
27  -0.828  0.0282 
28  -0.8032  0.0178 
29  -0.8088  -0.0142 
30  -0.848  0.0064 
31  -0.8436  0.0044 
32  -0.822  0.0418 
33  -0.8232  0.0328 
34  -0.8156  0.0186 
35  -0.828  0.0144 
36  -0.8208  0.0278 
37  -0.8296  0.0138 
38  -0.8244  -0.0348 
39  -0.8096  -0.0342 
40  -0.8128  -0.085 
41  -0.8384  -0.079 
42  -0.8364  -0.0654 
43  -0.8196  -0.0186 
44  -0.8136  -0.0436 
45  -0.8172  -0.0802 
46  -0.8308  -0.0532 
47  -0.828  -0.0514 
48  -0.8396  -0.0442 
49  -0.832  -0.003 
50  -0.8376  -0.0098 
51  -0.8356  -0.0092 
52  -0.8364  0.039 
53  -0.8244  0.0164 
54  -0.8344  -0.0118 
55  -0.836  -0.0312 
56  -0.8332  -0.0134 
57  -0.8344  0.0338 
58  -0.8148  0.0714 
59  -0.8232  0.0628 
60  -0.8348  0.041 
61  -0.8536  0.029 
62  -0.842  0.0114 
63  -0.8316  -0.0078 
64  -0.81  0.0226 
65  -0.8424  0.0406 
66  -0.8464  0.012 
67  -0.8212  0.0094 
68  -0.8548  0.0214 
69  -0.8604  0.0236 
70  -0.8108  -0.0066 
71  -0.792  -0.0114 
72  -0.8188  -0.0198 
73  -0.7692  -0.0064 
74  -0.7692  -0.0132 
75  -0.7844  -0.0194 
76  -0.8424  -0.0648 
77  -0.8208  -0.075 
78  -0.8228  -0.0654 
79  -0.8012  -0.0778 
80  -0.792  -0.0678 
81  -0.7876  -0.0426 
82  -0.7768  -0.0436 
83  -0.8144  -0.0306 
84  -0.7792  -0.0184 
85  -0.7988  -0.0222 
86  -0.7992  -0.014 
87  -0.8016  0.0186 
88  -0.7972  -0.014 
89  -0.7952  -0.0298 
90  -0.796  -0.0294 
91  -0.7704  -0.0338 
92  -0.7948  -0.0234 
93  -0.7744  -0.005 
94  -0.8  -0.0522 
95  -0.8108  -0.0748 
96  -0.8292  -0.051 
97  -0.8276  -0.0736 
98  -0.8544  -0.0962 
99  -0.8376  -0.0718 
100  -0.8208  -0.031 
101  -0.8112  -0.0334 
102  -0.7896  -0.0396 
103  -0.7764  -0.014 
104  -0.802  -0.0212 
105  -0.8456  -0.0198 
106  -0.828  -0.0482 
107  -0.8108  -0.0446 
108  -0.8148  -0.0522 
109  -0.8144  -0.0328 
110  -0.7916  -0.0184 
111  -0.7976  0.0546 
112  -0.8356  0.0734 
113  -0.8696  0.1052 
114  -0.8176  0.0682 
115  -0.804  0.0456 
116  -0.814  0.0266 
117  -0.804  0.0488 
118  -0.7896  0.012 
119  -0.7896  -0.0376 
120  -0.8364  -0.003 
121  -0.8276  -0.0292 
122  -0.8264  -0.03 
123  -0.8396  -0.0452 
124  -0.7892  -0.0098 
125  -0.8028  -0.0336 
126  -0.8336  -0.0388 
127  -0.8296  -0.005 
128  -0.8256  0.0464 
129  -0.8268  0.0396 
130  -0.8336  0.0112 
131  -0.8308  -0.0166 
132  -0.8604  0.0232 
133  -0.8356  -0.0136 
134  -0.8056  -0.0504 
135  -0.8064  -0.0252 
136  -0.8284  -0.0096 
137  -0.7992  -0.0322 
138  -0.7936  -0.0252 
139  -0.7892  -0.0104 
140  -0.836  0.0522 
141  -0.842  0.0762 
142  -0.83  0.086 
143  -0.8428  0.112 
144  -0.7964  0.0796 
145  -0.8096  0.0532 
146  -0.8304  0.044 
147  -0.8216  0.006 
148  -0.824  0.0308 
149  -0.7944  -0.0098 
150  -0.8188  -0.0482 
151  -0.8232  -0.0422 
152  -0.8312  -0.041 
153  -0.8316  -0.043 
154  -0.8292  -0.0532 
155  -0.8356  -0.0326 
156  -0.81  -0.0006 
157  -0.8512  0.025 
158  -0.824  0.0548 
159  -0.858  0.079 
160  -0.8168  0.072 
161  -0.826  0.0638 
162  -0.8216  0.0542 
163  -0.7972  0.0494 
164  -0.8016  0.0454 
165  -0.7956  0.0636 
166  -0.8004  0.0502 
167  -0.7984  0.0576 
168  -0.8108  0.097 
169  -0.8028  0.0046 
170  -0.7872  -0.0104 
171  -0.7876  -0.0482 
172  -0.806  -0.0632 
173  -0.8276  -0.051 
174  -0.8532  -0.031 
175  -0.84  -0.056 
176  -0.826  -0.006 
177  -0.8056  -0.0416 
178  -0.8144  -0.0562 
179  -0.838  -0.0784 
180  -0.8044  -0.0996 
181  -0.7956  -0.1152 
182  -0.8032  -0.0454 
183  -0.7904  -0.019 
184  -0.8228  0.002 
185  -0.81  0.0348 
186  -0.7828  0.0248 
187  -0.7956  0.0184 
188  -0.808  0.0136 
189  -0.7952  -0.0354 
190  -0.7652  -0.0232 
191  -0.786  -0.0428 
192  -0.8196  -0.0216 
193  -0.8004  -0.0148 
194  -0.812  -0.0314 
195  -0.81  -0.0074 
196  -0.824  0.0326 
197  -0.816  0.0288 
198  -0.8028  0.0002 
199  -0.812  -0.0082 
200  -0.8132  -0.0564 
201  -0.8216  -0.0452 
202  -0.8304  -0.0822 
203  -0.844  -0.0856 
204  -0.8232  -0.091 
205  -0.8376  -0.0712 
206  -0.8312  -0.007 
207  -0.852  -0.0266 
208  -0.8452  -0.0608 
209  -0.8444  -0.0406 
210  -0.8412  -0.0324 
211  -0.8128  -0.0158 
212  -0.8408  -0.0346 
213  -0.8256  -0.023 
214  -0.8148  -0.0202 
215  -0.8204  -0.0664 
216  -0.7972  -0.0778 
217  -0.8224  -0.0542 
218  -0.796  -0.016 
219  -0.8108  -0.0726 
220  -0.838  0.0058 
221  -0.8584  0.0148 
222  -0.876  0.059 
223  -0.8088  0.0208 
224  -0.8192  -0.0076 
225  -0.8356  -0.017 
226  -0.8408  -0.0102 
227  -0.8032  -0.0116 
228  -0.8196  -0.0312 
229  -0.8196  -0.0104 
230  -0.7708  0.0136 
231  -0.8168  -0.045 
232  -0.8244  -0.0234 
233  -0.834  -0.0248 
234  -0.8128  -0.0256 
235  -0.8188  -0.0282 
236  -0.8324  -0.0152 
237  -0.8124  0.0004 
238  -0.802  -0.012 
239  -0.8008  -0.0396 
240  -0.8388  -0.0202 
241  -0.8472  -0.034 
242  -0.85  -0.0174 
243  -0.8524  0.025 
244  -0.8312  -0.008 
245  -0.8416  -0.0008 
246  -0.8336  -0.0106 
247  -0.8328  0.0192 
248  -0.8376  0.0212 
249  -0.8184  0.019 
250  -0.818  0.0192 
251  -0.8404  -0.0124 
252  -0.8472  -0.0258 
253  -0.8096  -0.0172 
254  -0.8368  -0.0284 
255  -0.8076  0.0006 
256  -0.7832  0.019 
257  -0.8096  0.0356 
258  -0.8248  0.0034 
259  -0.8336  0.0492 
260  -0.8256  0.0532 
261  -0.8192  0.0912 
262  -0.8308  0.0738 
263  -0.804  0.0626 
264  -0.8196  0.074 
265  -0.824  0.0288 
266  -0.7824  0.016 
267  -0.8424  0.0086 
268  -0.8268  0.0178 
