# energy/N    magnetization    seed 
-0.04    0.06    1692663759.678696 
-0.04    0.06    1692663759.678696 
-0.04    0.06    1692663759.678696 
-0.28    0.0    1692663759.6796954 
-0.28    0.0    1692663759.6796954 
-0.28    0.0    1692663759.6796954 
-0.28    0.0    1692663759.6796954 
-0.28    0.0    1692663759.6796954 
-0.28    0.0    1692663759.6796954 
-0.2    -0.06    1692663759.6806943 
-0.2    -0.06    1692663759.6806943 
-0.2    -0.06    1692663759.6806943 
-0.2    -0.06    1692663759.6806943 
-0.2    -0.06    1692663759.6806943 
-0.2    -0.06    1692663759.6806943 
0.16    0.02    1692663759.681695 
0.16    0.02    1692663759.681695 
0.16    0.02    1692663759.681695 
0.16    0.02    1692663759.681695 
0.16    0.02    1692663759.681695 
0.16    0.02    1692663759.681695 
0.08    0.06    1692663759.6826944 
0.08    0.06    1692663759.6826944 
0.08    0.06    1692663759.6826944 
0.08    0.06    1692663759.6826944 
0.08    0.06    1692663759.6826944 
-0.4    -0.04    1692663759.683698 
-0.4    -0.04    1692663759.683698 
-0.4    -0.04    1692663759.683698 
-0.4    -0.04    1692663759.683698 
-0.4    -0.04    1692663759.683698 
-0.4    -0.04    1692663759.683698 
0.16    0.0    1692663759.68472 
0.16    0.0    1692663759.68472 
0.16    0.0    1692663759.68472 
0.16    0.0    1692663759.68472 
0.16    0.0    1692663759.68472 
0.16    0.0    1692663759.68472 
0.16    0.06    1692663759.6857197 
0.16    0.06    1692663759.6857197 
0.16    0.06    1692663759.6857197 
0.16    0.06    1692663759.6857197 
0.16    0.06    1692663759.6857197 
0.16    0.06    1692663759.6857197 
0.12    0.16    1692663759.6867197 
0.12    0.16    1692663759.6867197 
0.12    0.16    1692663759.6867197 
0.12    0.16    1692663759.6867197 
0.12    0.16    1692663759.6867197 
0.08    0.16    1692663759.6877196 
0.08    0.16    1692663759.6877196 
0.08    0.16    1692663759.6877196 
0.08    0.16    1692663759.6877196 
0.08    0.16    1692663759.6877196 
0.08    0.16    1692663759.6877196 
0.08    0.16    1692663759.6877196 
-0.04    -0.02    1692663759.6887202 
-0.04    -0.02    1692663759.6887202 
-0.04    -0.02    1692663759.6887202 
-0.04    -0.02    1692663759.6887202 
-0.04    -0.02    1692663759.6887202 
-0.04    -0.02    1692663759.6887202 
0.2    0.2    1692663759.68972 
0.2    0.2    1692663759.68972 
0.2    0.2    1692663759.68972 
0.2    0.2    1692663759.68972 
0.2    0.2    1692663759.68972 
0.2    0.2    1692663759.68972 
0.12    0.02    1692663759.69072 
0.12    0.02    1692663759.69072 
0.12    0.02    1692663759.69072 
0.12    0.02    1692663759.69072 
0.12    0.02    1692663759.69072 
0.12    -0.04    1692663759.6917198 
0.12    -0.04    1692663759.6917198 
0.12    -0.04    1692663759.6917198 
0.12    -0.04    1692663759.6917198 
0.12    -0.04    1692663759.6917198 
0.12    -0.04    1692663759.6917198 
-0.16    -0.06    1692663759.6926968 
-0.16    -0.06    1692663759.6926968 
-0.16    -0.06    1692663759.6926968 
-0.16    -0.06    1692663759.6926968 
-0.16    -0.06    1692663759.6926968 
-0.16    -0.06    1692663759.6926968 
-0.04    0.02    1692663759.6936955 
-0.04    0.02    1692663759.6936955 
-0.04    0.02    1692663759.6936955 
-0.04    0.02    1692663759.6936955 
-0.04    0.02    1692663759.6936955 
0.12    0.0    1692663759.6946948 
0.12    0.0    1692663759.6946948 
0.12    0.0    1692663759.6946948 
0.12    0.0    1692663759.6946948 
0.12    0.0    1692663759.6946948 
0.12    0.0    1692663759.6946948 
-0.12    -0.04    1692663759.6956944 
-0.12    -0.04    1692663759.6956944 
-0.12    -0.04    1692663759.6956944 
-0.12    -0.04    1692663759.6956944 
-0.12    -0.04    1692663759.6956944 
-0.12    -0.04    1692663759.6956944 
0.04    -0.08    1692663759.6966946 
0.04    -0.08    1692663759.6966946 
0.04    -0.08    1692663759.6966946 
0.04    -0.08    1692663759.6966946 
0.04    -0.08    1692663759.6966946 
0.04    -0.08    1692663759.6966946 
-0.2    -0.06    1692663759.6976943 
-0.2    -0.06    1692663759.6976943 
-0.2    -0.06    1692663759.6976943 
-0.2    -0.06    1692663759.6976943 
-0.2    -0.06    1692663759.6976943 
-0.2    -0.06    1692663759.6976943 
-0.2    -0.06    1692663759.6976943 
-0.12    -0.12    1692663759.6986945 
-0.12    -0.12    1692663759.6986945 
-0.12    -0.12    1692663759.6986945 
-0.12    -0.12    1692663759.6986945 
-0.12    -0.12    1692663759.6986945 
-0.08    0.24    1692663759.6997201 
-0.08    0.24    1692663759.6997201 
-0.08    0.24    1692663759.6997201 
-0.08    0.24    1692663759.6997201 
-0.08    0.24    1692663759.6997201 
-0.08    0.24    1692663759.6997201 
-0.04    0.14    1692663759.70072 
-0.04    0.14    1692663759.70072 
-0.04    0.14    1692663759.70072 
-0.04    0.14    1692663759.70072 
-0.04    0.14    1692663759.70072 
-0.04    0.14    1692663759.70072 
-0.08    -0.06    1692663759.7017198 
-0.08    -0.06    1692663759.7017198 
-0.08    -0.06    1692663759.7017198 
-0.08    -0.06    1692663759.7017198 
-0.08    -0.06    1692663759.7017198 
-0.08    -0.06    1692663759.7017198 
-0.12    0.06    1692663759.7027194 
-0.12    0.06    1692663759.7027194 
-0.12    0.06    1692663759.7027194 
-0.12    0.06    1692663759.7027194 
-0.12    0.06    1692663759.7027194 
-0.12    0.06    1692663759.7027194 
-0.16    -0.22    1692663759.7037194 
-0.16    -0.22    1692663759.7037194 
-0.16    -0.22    1692663759.7037194 
-0.16    -0.22    1692663759.7037194 
-0.16    -0.22    1692663759.7037194 
-0.16    -0.22    1692663759.7037194 
-0.24    -0.06    1692663759.7047195 
-0.24    -0.06    1692663759.7047195 
-0.24    -0.06    1692663759.7047195 
-0.24    -0.06    1692663759.7047195 
-0.24    -0.06    1692663759.7047195 
-0.24    -0.06    1692663759.7047195 
-0.12    -0.06    1692663759.7057197 
-0.12    -0.06    1692663759.7057197 
-0.12    -0.06    1692663759.7057197 
-0.12    -0.06    1692663759.7057197 
-0.12    -0.06    1692663759.7057197 
-0.12    -0.06    1692663759.7057197 
0.0    -0.1    1692663759.7067192 
0.0    -0.1    1692663759.7067192 
0.0    -0.1    1692663759.7067192 
0.0    -0.1    1692663759.7067192 
0.0    -0.1    1692663759.7067192 
0.0    -0.1    1692663759.7067192 
0.0    -0.1    1692663759.7067192 
-0.12    0.12    1692663759.7077196 
-0.12    0.12    1692663759.7077196 
-0.12    0.12    1692663759.7077196 
-0.12    0.12    1692663759.7077196 
-0.12    0.12    1692663759.7077196 
-0.12    0.12    1692663759.7077196 
-0.04    -0.18    1692663759.7087197 
-0.04    -0.18    1692663759.7087197 
-0.04    -0.18    1692663759.7087197 
-0.04    -0.18    1692663759.7087197 
-0.04    -0.18    1692663759.7087197 
-0.04    -0.18    1692663759.7087197 
0.08    -0.16    1692663759.70972 
0.08    -0.16    1692663759.70972 
0.08    -0.16    1692663759.70972 
0.08    -0.16    1692663759.70972 
0.08    -0.16    1692663759.70972 
0.08    -0.16    1692663759.70972 
-0.16    -0.14    1692663759.7107196 
-0.16    -0.14    1692663759.7107196 
-0.16    -0.14    1692663759.7107196 
-0.16    -0.14    1692663759.7107196 
-0.16    -0.14    1692663759.7107196 
-0.16    -0.14    1692663759.7107196 
-0.2    0.08    1692663759.7117205 
-0.2    0.08    1692663759.7117205 
-0.2    0.08    1692663759.7117205 
-0.2    0.08    1692663759.7117205 
-0.2    0.08    1692663759.7117205 
-0.2    0.08    1692663759.7117205 
0.2    -0.06    1692663759.7127197 
0.2    -0.06    1692663759.7127197 
0.2    -0.06    1692663759.7127197 
0.2    -0.06    1692663759.7127197 
0.2    -0.06    1692663759.7127197 
0.2    -0.06    1692663759.7127197 
0.32    0.08    1692663759.71372 
0.32    0.08    1692663759.71372 
0.32    0.08    1692663759.71372 
0.32    0.08    1692663759.71372 
0.32    0.08    1692663759.71372 
0.32    0.08    1692663759.71372 
-0.12    -0.12    1692663759.7147198 
-0.12    -0.12    1692663759.7147198 
-0.12    -0.12    1692663759.7147198 
-0.12    -0.12    1692663759.7147198 
-0.12    -0.12    1692663759.7147198 
-0.24    0.04    1692663759.715721 
-0.24    0.04    1692663759.715721 
-0.24    0.04    1692663759.715721 
-0.24    0.04    1692663759.715721 
-0.24    0.04    1692663759.715721 
-0.24    0.04    1692663759.715721 
0.2    -0.04    1692663759.7167196 
0.2    -0.04    1692663759.7167196 
0.2    -0.04    1692663759.7167196 
0.2    -0.04    1692663759.7167196 
0.2    -0.04    1692663759.7167196 
0.2    -0.04    1692663759.7167196 
-0.12    -0.18    1692663759.7177198 
-0.12    -0.18    1692663759.7177198 
-0.12    -0.18    1692663759.7177198 
-0.12    -0.18    1692663759.7177198 
-0.12    -0.18    1692663759.7177198 
-0.12    -0.18    1692663759.7177198 
0.16    0.14    1692663759.7187204 
0.16    0.14    1692663759.7187204 
0.16    0.14    1692663759.7187204 
0.16    0.14    1692663759.7187204 
0.16    0.14    1692663759.7187204 
0.16    0.14    1692663759.7187204 
-0.12    0.22    1692663759.7197196 
-0.12    0.22    1692663759.7197196 
-0.12    0.22    1692663759.7197196 
-0.12    0.22    1692663759.7197196 
-0.12    0.22    1692663759.7197196 
-0.12    0.22    1692663759.7197196 
0.12    -0.18    1692663759.72072 
0.12    -0.18    1692663759.72072 
0.12    -0.18    1692663759.72072 
0.12    -0.18    1692663759.72072 
0.12    -0.18    1692663759.72072 
0.12    -0.18    1692663759.72072 
-0.24    -0.08    1692663759.7217195 
-0.24    -0.08    1692663759.7217195 
-0.24    -0.08    1692663759.7217195 
-0.24    -0.08    1692663759.7217195 
-0.24    -0.08    1692663759.7217195 
-0.24    -0.08    1692663759.7217195 
0.24    0.0    1692663759.72272 
0.24    0.0    1692663759.72272 
0.24    0.0    1692663759.72272 
0.24    0.0    1692663759.72272 
0.24    0.0    1692663759.72272 
0.24    0.0    1692663759.72272 
0.0    -0.22    1692663759.7237198 
0.0    -0.22    1692663759.7237198 
0.0    -0.22    1692663759.7237198 
0.0    -0.22    1692663759.7237198 
0.0    -0.22    1692663759.7237198 
0.0    -0.22    1692663759.7237198 
-0.16    -0.02    1692663759.7247207 
-0.16    -0.02    1692663759.7247207 
-0.16    -0.02    1692663759.7247207 
-0.16    -0.02    1692663759.7247207 
-0.16    -0.02    1692663759.7247207 
-0.16    -0.02    1692663759.7247207 
-0.16    -0.18    1692663759.7257204 
-0.16    -0.18    1692663759.7257204 
-0.16    -0.18    1692663759.7257204 
-0.16    -0.18    1692663759.7257204 
-0.16    -0.18    1692663759.7257204 
-0.16    -0.18    1692663759.7257204 
0.12    -0.02    1692663759.7267199 
0.12    -0.02    1692663759.7267199 
0.12    -0.02    1692663759.7267199 
0.12    -0.02    1692663759.7267199 
0.12    -0.02    1692663759.7267199 
0.12    -0.02    1692663759.7267199 
0.04    -0.08    1692663759.7277231 
0.04    -0.08    1692663759.7277231 
0.04    -0.08    1692663759.7277231 
0.04    -0.08    1692663759.7277231 
0.04    -0.08    1692663759.7277231 
0.04    -0.08    1692663759.7277231 
-0.16    0.06    1692663759.7287197 
-0.16    0.06    1692663759.7287197 
-0.16    0.06    1692663759.7287197 
-0.16    0.06    1692663759.7287197 
-0.16    0.06    1692663759.7287197 
-0.16    0.06    1692663759.7287197 
-0.16    0.06    1692663759.7287197 
-0.16    -0.12    1692663759.7297199 
-0.16    -0.12    1692663759.7297199 
-0.16    -0.12    1692663759.7297199 
-0.16    -0.12    1692663759.7297199 
-0.16    -0.12    1692663759.7297199 
-0.16    -0.12    1692663759.7297199 
-0.2    -0.08    1692663759.7307205 
-0.2    -0.08    1692663759.7307205 
-0.2    -0.08    1692663759.7307205 
-0.04    0.0    1692663759.7316968 
-0.04    0.0    1692663759.7316968 
-0.04    0.0    1692663759.7316968 
-0.04    0.0    1692663759.7316968 
-0.04    0.0    1692663759.7316968 
-0.04    0.0    1692663759.7316968 
-0.12    -0.02    1692663759.732697 
-0.12    -0.02    1692663759.732697 
-0.12    -0.02    1692663759.732697 
-0.12    -0.02    1692663759.732697 
-0.12    -0.02    1692663759.732697 
-0.12    -0.02    1692663759.732697 
0.0    -0.02    1692663759.73372 
0.0    -0.02    1692663759.73372 
0.0    -0.02    1692663759.73372 
0.0    -0.02    1692663759.73372 
0.0    -0.02    1692663759.73372 
0.0    -0.02    1692663759.73372 
0.0    -0.1    1692663759.7347212 
0.0    -0.1    1692663759.7347212 
0.0    -0.1    1692663759.7347212 
0.0    -0.1    1692663759.7347212 
0.0    -0.1    1692663759.7347212 
0.0    -0.1    1692663759.7347212 
0.12    0.14    1692663759.7357194 
0.12    0.14    1692663759.7357194 
0.12    0.14    1692663759.7357194 
0.12    0.14    1692663759.7357194 
0.12    0.14    1692663759.7357194 
0.12    0.14    1692663759.7357194 
-0.24    -0.04    1692663759.7367194 
-0.24    -0.04    1692663759.7367194 
-0.24    -0.04    1692663759.7367194 
-0.24    -0.04    1692663759.7367194 
-0.24    -0.04    1692663759.7367194 
-0.24    -0.04    1692663759.7367194 
-0.2    -0.16    1692663759.7377198 
-0.2    -0.16    1692663759.7377198 
-0.2    -0.16    1692663759.7377198 
-0.2    -0.16    1692663759.7377198 
-0.2    -0.16    1692663759.7377198 
-0.2    -0.16    1692663759.7377198 
0.2    -0.08    1692663759.7387202 
0.2    -0.08    1692663759.7387202 
0.2    -0.08    1692663759.7387202 
0.2    -0.08    1692663759.7387202 
0.2    -0.08    1692663759.7387202 
0.2    -0.08    1692663759.7387202 
0.24    -0.16    1692663759.7397194 
0.24    -0.16    1692663759.7397194 
0.24    -0.16    1692663759.7397194 
0.24    -0.16    1692663759.7397194 
0.24    -0.16    1692663759.7397194 
0.24    -0.16    1692663759.7397194 
0.12    -0.06    1692663759.7407198 
0.12    -0.06    1692663759.7407198 
0.12    -0.06    1692663759.7407198 
0.12    -0.06    1692663759.7407198 
0.12    -0.06    1692663759.7407198 
0.12    -0.06    1692663759.7407198 
0.0    -0.06    1692663759.7417207 
0.0    -0.06    1692663759.7417207 
0.0    -0.06    1692663759.7417207 
0.0    -0.06    1692663759.7417207 
0.0    -0.06    1692663759.7417207 
0.0    -0.06    1692663759.7417207 
-0.08    0.04    1692663759.74272 
-0.08    0.04    1692663759.74272 
-0.08    0.04    1692663759.74272 
-0.08    0.04    1692663759.74272 
-0.08    0.04    1692663759.74272 
-0.08    0.04    1692663759.74272 
0.12    0.06    1692663759.7437215 
0.12    0.06    1692663759.7437215 
0.12    0.06    1692663759.7437215 
0.12    0.06    1692663759.7437215 
0.12    0.06    1692663759.7437215 
0.12    0.06    1692663759.7437215 
0.04    0.06    1692663759.7447195 
0.04    0.06    1692663759.7447195 
0.04    0.06    1692663759.7447195 
0.04    0.06    1692663759.7447195 
0.04    0.06    1692663759.7447195 
0.04    0.06    1692663759.7447195 
0.0    -0.08    1692663759.74572 
0.0    -0.08    1692663759.74572 
0.0    -0.08    1692663759.74572 
0.0    -0.08    1692663759.74572 
0.0    -0.08    1692663759.74572 
0.0    -0.08    1692663759.74572 
0.12    0.08    1692663759.7467198 
0.12    0.08    1692663759.7467198 
0.12    0.08    1692663759.7467198 
0.12    0.08    1692663759.7467198 
0.12    0.08    1692663759.7467198 
0.12    0.08    1692663759.7467198 
-0.04    0.1    1692663759.74772 
-0.04    0.1    1692663759.74772 
-0.04    0.1    1692663759.74772 
-0.04    0.1    1692663759.74772 
-0.04    0.1    1692663759.74772 
-0.04    0.1    1692663759.74772 
0.08    0.02    1692663759.74872 
0.08    0.02    1692663759.74872 
0.08    0.02    1692663759.74872 
0.08    0.02    1692663759.74872 
0.08    0.02    1692663759.74872 
0.08    0.02    1692663759.74872 
0.24    0.04    1692663759.7497196 
0.24    0.04    1692663759.7497196 
0.24    0.04    1692663759.7497196 
0.24    0.04    1692663759.7497196 
0.24    0.04    1692663759.7497196 
0.24    0.04    1692663759.7497196 
0.12    -0.02    1692663759.75072 
0.12    -0.02    1692663759.75072 
0.12    -0.02    1692663759.75072 
0.12    -0.02    1692663759.75072 
0.12    -0.02    1692663759.75072 
0.12    -0.02    1692663759.75072 
0.04    0.02    1692663759.75172 
0.04    0.02    1692663759.75172 
0.04    0.02    1692663759.75172 
0.04    0.02    1692663759.75172 
0.04    0.02    1692663759.75172 
0.04    0.02    1692663759.75172 
0.0    0.1    1692663759.7527204 
0.0    0.1    1692663759.7527204 
0.0    0.1    1692663759.7527204 
0.0    0.1    1692663759.7527204 
0.0    0.1    1692663759.7527204 
-0.2    -0.14    1692663759.7537198 
-0.2    -0.14    1692663759.7537198 
-0.2    -0.14    1692663759.7537198 
-0.2    -0.14    1692663759.7537198 
-0.2    -0.14    1692663759.7537198 
-0.2    -0.14    1692663759.7537198 
-0.2    -0.14    1692663759.75472 
-0.2    -0.14    1692663759.75472 
-0.2    -0.14    1692663759.75472 
-0.2    -0.14    1692663759.75472 
-0.2    -0.14    1692663759.75472 
-0.2    -0.14    1692663759.75472 
-0.08    -0.14    1692663759.7557201 
-0.08    -0.14    1692663759.7557201 
-0.08    -0.14    1692663759.7557201 
-0.08    -0.14    1692663759.7557201 
-0.08    -0.14    1692663759.7557201 
-0.08    -0.14    1692663759.7557201 
-0.08    -0.14    1692663759.7557201 
0.0    -0.04    1692663759.75672 
0.0    -0.04    1692663759.75672 
0.0    -0.04    1692663759.75672 
0.0    -0.04    1692663759.75672 
0.0    -0.04    1692663759.75672 
0.0    -0.04    1692663759.75672 
0.16    -0.12    1692663759.75772 
0.16    -0.12    1692663759.75772 
0.16    -0.12    1692663759.75772 
0.16    -0.12    1692663759.75772 
0.16    -0.12    1692663759.75772 
0.16    -0.12    1692663759.75772 
0.16    -0.04    1692663759.7587194 
0.16    -0.04    1692663759.7587194 
0.16    -0.04    1692663759.7587194 
0.16    -0.04    1692663759.7587194 
0.16    -0.04    1692663759.7587194 
0.12    0.0    1692663759.7597194 
0.12    0.0    1692663759.7597194 
0.12    0.0    1692663759.7597194 
0.12    0.0    1692663759.7597194 
0.12    0.0    1692663759.7597194 
0.12    0.0    1692663759.7597194 
0.12    -0.08    1692663759.7607198 
0.12    -0.08    1692663759.7607198 
0.12    -0.08    1692663759.7607198 
0.12    -0.08    1692663759.7607198 
0.12    -0.08    1692663759.7607198 
0.12    -0.08    1692663759.7607198 
-0.12    -0.06    1692663759.7617197 
-0.12    -0.06    1692663759.7617197 
-0.12    -0.06    1692663759.7617197 
-0.12    -0.06    1692663759.7617197 
-0.12    -0.06    1692663759.7617197 
-0.12    -0.06    1692663759.7617197 
0.16    0.1    1692663759.7627203 
0.16    0.1    1692663759.7627203 
0.16    0.1    1692663759.7627203 
0.16    0.1    1692663759.7627203 
0.16    0.1    1692663759.7627203 
0.16    0.1    1692663759.7627203 
0.0    -0.08    1692663759.7637198 
0.0    -0.08    1692663759.7637198 
0.0    -0.08    1692663759.7637198 
0.0    -0.08    1692663759.7637198 
0.0    -0.08    1692663759.7637198 
0.0    -0.08    1692663759.7637198 
-0.16    -0.04    1692663759.7647192 
-0.16    -0.04    1692663759.7647192 
-0.16    -0.04    1692663759.7647192 
-0.16    -0.04    1692663759.7647192 
-0.16    -0.04    1692663759.7647192 
0.28    0.1    1692663759.7656972 
0.28    0.1    1692663759.7656972 
0.28    0.1    1692663759.7656972 
0.28    0.1    1692663759.7656972 
0.28    0.1    1692663759.7656972 
0.28    0.1    1692663759.7656972 
0.28    0.1    1692663759.7656972 
0.04    0.1    1692663759.7667198 
0.04    0.1    1692663759.7667198 
0.04    0.1    1692663759.7667198 
0.04    0.1    1692663759.7667198 
0.04    0.1    1692663759.7667198 
0.04    0.1    1692663759.7667198 
-0.36    0.08    1692663759.7677197 
-0.36    0.08    1692663759.7677197 
-0.36    0.08    1692663759.7677197 
-0.36    0.08    1692663759.7677197 
-0.36    0.08    1692663759.7677197 
-0.36    0.08    1692663759.7677197 
0.12    0.16    1692663759.7687192 
0.12    0.16    1692663759.7687192 
0.12    0.16    1692663759.7687192 
0.12    0.16    1692663759.7687192 
0.12    0.16    1692663759.7687192 
0.12    0.16    1692663759.7687192 
0.08    0.08    1692663759.7697198 
0.08    0.08    1692663759.7697198 
0.08    0.08    1692663759.7697198 
0.08    0.08    1692663759.7697198 
0.08    0.08    1692663759.7697198 
0.08    0.08    1692663759.7697198 
0.08    -0.02    1692663759.7707195 
0.08    -0.02    1692663759.7707195 
0.08    -0.02    1692663759.7707195 
0.08    -0.02    1692663759.7707195 
0.08    -0.02    1692663759.7707195 
0.08    -0.02    1692663759.7707195 
0.0    0.1    1692663759.7717202 
0.0    0.1    1692663759.7717202 
0.0    0.1    1692663759.7717202 
0.0    0.1    1692663759.7717202 
0.0    0.1    1692663759.7717202 
0.0    0.1    1692663759.7717202 
-0.12    -0.04    1692663759.7727199 
-0.12    -0.04    1692663759.7727199 
-0.12    -0.04    1692663759.7727199 
-0.12    -0.04    1692663759.7727199 
-0.12    -0.04    1692663759.7727199 
-0.12    -0.04    1692663759.7727199 
