# mcs  energy  magnetization 
0  -2.0  1.0 
50  -1.9952  0.9984 
100  -1.992  0.9976 
150  -1.9968  0.9992 
200  -1.9936  0.9984 
250  -1.9872  0.996 
300  -1.9936  0.9984 
350  -1.9904  0.9976 
400  -2.0  1.0 
450  -1.9968  0.9992 
500  -2.0  1.0 
550  -2.0  1.0 
600  -1.9936  0.9984 
650  -1.9968  0.9992 
700  -1.9888  0.9968 
750  -1.9936  0.9984 
800  -1.9968  0.9992 
850  -1.9904  0.9976 
900  -1.9936  0.9984 
950  -2.0  1.0 
1000  -1.9968  0.9992 
1050  -2.0  1.0 
1100  -2.0  1.0 
1150  -1.9968  0.9992 
1200  -1.9968  0.9992 
1250  -2.0  1.0 
1300  -1.9968  0.9992 
1350  -1.9968  0.9992 
1400  -1.9968  0.9992 
1450  -1.9968  0.9992 
1500  -1.9936  0.9984 
1550  -1.9904  0.9976 
1600  -1.9936  0.9984 
1650  -2.0  1.0 
1700  -1.9968  0.9992 
1750  -2.0  1.0 
1800  -2.0  1.0 
1850  -1.9968  0.9992 
1900  -2.0  1.0 
1950  -1.9936  0.9984 
2000  -2.0  1.0 
2050  -1.9936  0.9984 
2100  -1.9904  0.9976 
2150  -1.9968  0.9992 
2200  -2.0  1.0 
2250  -2.0  1.0 
2300  -1.9968  0.9992 
2350  -2.0  1.0 
2400  -2.0  1.0 
2450  -2.0  1.0 
2500  -1.9968  0.9992 
2550  -2.0  1.0 
2600  -1.9968  0.9992 
2650  -2.0  1.0 
2700  -2.0  1.0 
2750  -1.9968  0.9992 
2800  -1.9936  0.9984 
2850  -2.0  1.0 
2900  -1.9936  0.9984 
2950  -1.9968  0.9992 
3000  -1.9904  0.9976 
3050  -1.9968  0.9992 
3100  -2.0  1.0 
3150  -1.9968  0.9992 
3200  -1.9968  0.9992 
3250  -1.9904  0.9976 
3300  -1.9968  0.9992 
3350  -1.9904  0.9976 
3400  -1.9968  0.9992 
3450  -1.9968  0.9992 
3500  -1.9968  0.9992 
3550  -2.0  1.0 
3600  -2.0  1.0 
3650  -1.9968  0.9992 
3700  -2.0  1.0 
3750  -1.9968  0.9992 
3800  -1.9968  0.9992 
3850  -2.0  1.0 
3900  -1.9968  0.9992 
3950  -2.0  1.0 
4000  -1.9936  0.9984 
4050  -1.9968  0.9992 
4100  -1.992  0.9976 
4150  -1.9936  0.9984 
4200  -1.9968  0.9992 
4250  -2.0  1.0 
4300  -2.0  1.0 
4350  -1.9968  0.9992 
4400  -1.9968  0.9992 
4450  -2.0  1.0 
4500  -1.9968  0.9992 
4550  -1.9968  0.9992 
4600  -1.9968  0.9992 
4650  -2.0  1.0 
4700  -2.0  1.0 
4750  -1.9968  0.9992 
4800  -1.9936  0.9984 
4850  -2.0  1.0 
