# mcs  energy  magnetization 
218  -1.6852  -0.4978 
219  -1.6932  -0.4982 
220  -1.7016  -0.4894 
221  -1.6388  -0.4712 
222  -1.6512  -0.4714 
223  -1.6524  -0.4804 
224  -1.686  -0.4814 
225  -1.6836  -0.4822 
226  -1.6884  -0.4942 
227  -1.6892  -0.4938 
228  -1.702  -0.4982 
229  -1.696  -0.4888 
230  -1.694  -0.4822 
231  -1.7092  -0.4916 
232  -1.686  -0.475 
233  -1.6716  -0.493 
234  -1.6944  -0.499 
235  -1.6836  -0.5066 
236  -1.6752  -0.5124 
237  -1.6752  -0.506 
238  -1.6644  -0.5036 
239  -1.6624  -0.502 
240  -1.6792  -0.5072 
241  -1.6936  -0.515 
242  -1.6988  -0.5164 
243  -1.6848  -0.5232 
244  -1.688  -0.5136 
245  -1.6636  -0.486 
246  -1.6804  -0.5052 
247  -1.6908  -0.5234 
248  -1.6988  -0.5262 
249  -1.6892  -0.5162 
250  -1.6892  -0.5246 
251  -1.6932  -0.5286 
252  -1.6908  -0.5388 
253  -1.6936  -0.5396 
254  -1.702  -0.5356 
255  -1.71  -0.5324 
256  -1.7172  -0.5446 
257  -1.7164  -0.5578 
258  -1.7028  -0.555 
259  -1.7096  -0.5584 
260  -1.704  -0.5544 
261  -1.6916  -0.5552 
262  -1.6672  -0.5438 
263  -1.6556  -0.5424 
264  -1.6748  -0.5548 
265  -1.6744  -0.5558 
266  -1.6876  -0.5634 
267  -1.7064  -0.5724 
268  -1.6776  -0.57 
269  -1.708  -0.581 
270  -1.6728  -0.5792 
271  -1.694  -0.5842 
272  -1.6636  -0.5874 
273  -1.662  -0.5828 
274  -1.6508  -0.594 
275  -1.6888  -0.6064 
276  -1.7228  -0.6138 
277  -1.6984  -0.6198 
278  -1.6896  -0.6242 
279  -1.71  -0.6314 
280  -1.6936  -0.6242 
281  -1.726  -0.6418 
282  -1.7316  -0.6492 
283  -1.7136  -0.6326 
284  -1.71  -0.6452 
285  -1.7016  -0.6504 
286  -1.6908  -0.639 
287  -1.7008  -0.621 
288  -1.7016  -0.6224 
289  -1.674  -0.6214 
290  -1.6924  -0.6296 
291  -1.6904  -0.6194 
292  -1.6768  -0.6248 
293  -1.7144  -0.6274 
294  -1.7204  -0.6382 
295  -1.7108  -0.6486 
296  -1.7008  -0.6492 
297  -1.6928  -0.6532 
298  -1.6892  -0.6454 
299  -1.7192  -0.639 
300  -1.714  -0.6578 
301  -1.6892  -0.6554 
302  -1.688  -0.6596 
303  -1.7036  -0.6718 
304  -1.7056  -0.6632 
305  -1.6808  -0.66 
