Exercício 6
Simulação 0, seed = 1686871829.7634363, pi = 3.142944
Simulação 1, seed = 1686871830.3884242, pi = 3.142232
Simulação 2, seed = 1686871831.1634238, pi = 3.142444
Simulação 3, seed = 1686871831.831422, pi = 3.140988
Simulação 4, seed = 1686871832.4904234, pi = 3.145156
Simulação 5, seed = 1686871833.0884557, pi = 3.142976
Simulação 6, seed = 1686871833.704448, pi = 3.141036
Simulação 7, seed = 1686871834.2954466, pi = 3.141564
Simulação 8, seed = 1686871834.8914533, pi = 3.14042
Simulação 9, seed = 1686871835.4814577, pi = 3.145124
Simulação 10, seed = 1686871836.1124232, pi = 3.141188
Simulação 11, seed = 1686871836.7474234, pi = 3.14248
Simulação 12, seed = 1686871837.3814223, pi = 3.13928
Simulação 13, seed = 1686871837.9844222, pi = 3.14156
Simulação 14, seed = 1686871838.5734556, pi = 3.143852
Simulação 15, seed = 1686871839.1644552, pi = 3.143176
Simulação 16, seed = 1686871839.7784293, pi = 3.143588
Simulação 17, seed = 1686871840.3704255, pi = 3.143216
Simulação 18, seed = 1686871840.960454, pi = 3.141612
Simulação 19, seed = 1686871841.579423, pi = 3.143016
Simulação 20, seed = 1686871842.1614537, pi = 3.138532
Simulação 21, seed = 1686871842.7564242, pi = 3.142188
Simulação 22, seed = 1686871843.3474605, pi = 3.14056
Simulação 23, seed = 1686871843.9464288, pi = 3.141536
Simulação 24, seed = 1686871844.5384533, pi = 3.143296
Simulação 25, seed = 1686871845.1264226, pi = 3.140544
Simulação 26, seed = 1686871845.713423, pi = 3.137624
Simulação 27, seed = 1686871846.3064365, pi = 3.140536
Simulação 28, seed = 1686871846.897458, pi = 3.14204
Simulação 29, seed = 1686871847.487424, pi = 3.141708
Simulação 30, seed = 1686871848.0844479, pi = 3.141156
Simulação 31, seed = 1686871848.678457, pi = 3.14284
Simulação 32, seed = 1686871849.2654533, pi = 3.143236
Simulação 33, seed = 1686871849.8544219, pi = 3.142736
Simulação 34, seed = 1686871850.4514225, pi = 3.144424
Simulação 35, seed = 1686871851.040421, pi = 3.141384
Simulação 36, seed = 1686871851.6314538, pi = 3.139888
Simulação 37, seed = 1686871852.2254233, pi = 3.143624
Simulação 38, seed = 1686871852.8344219, pi = 3.140516
Simulação 39, seed = 1686871853.4254231, pi = 3.142316
Simulação 40, seed = 1686871854.033447, pi = 3.141104
Simulação 41, seed = 1686871854.626424, pi = 3.141828
Simulação 42, seed = 1686871855.224447, pi = 3.141092
Simulação 43, seed = 1686871855.8174536, pi = 3.140892
Simulação 44, seed = 1686871856.413422, pi = 3.14212
Simulação 45, seed = 1686871856.9984593, pi = 3.142408
Simulação 46, seed = 1686871857.5954227, pi = 3.143216
Simulação 47, seed = 1686871858.1894472, pi = 3.143492
Simulação 48, seed = 1686871858.7884538, pi = 3.141412
Simulação 49, seed = 1686871859.3844483, pi = 3.140872
Simulação 50, seed = 1686871859.9774225, pi = 3.141
Simulação 51, seed = 1686871860.5624537, pi = 3.144976
Simulação 52, seed = 1686871861.2004216, pi = 3.141228
Simulação 53, seed = 1686871861.8014464, pi = 3.14036
Simulação 54, seed = 1686871862.403423, pi = 3.137484
Simulação 55, seed = 1686871862.9974222, pi = 3.143144
Simulação 56, seed = 1686871863.595423, pi = 3.14168
Simulação 57, seed = 1686871864.193422, pi = 3.140452
Simulação 58, seed = 1686871864.7954228, pi = 3.139604
Simulação 59, seed = 1686871865.3894222, pi = 3.14128
Simulação 60, seed = 1686871865.982423, pi = 3.144264
Simulação 61, seed = 1686871866.5834467, pi = 3.140264
Simulação 62, seed = 1686871867.1834216, pi = 3.142084
Simulação 63, seed = 1686871867.7754211, pi = 3.143176
Simulação 64, seed = 1686871868.374421, pi = 3.141924
Simulação 65, seed = 1686871868.9814231, pi = 3.139168
Simulação 66, seed = 1686871869.5754468, pi = 3.137704
Simulação 67, seed = 1686871870.178423, pi = 3.141608
Simulação 68, seed = 1686871870.776423, pi = 3.139788
Simulação 69, seed = 1686871871.3694239, pi = 3.143284
Simulação 70, seed = 1686871871.9784212, pi = 3.141912
Simulação 71, seed = 1686871872.5754209, pi = 3.138992
Simulação 72, seed = 1686871873.1754222, pi = 3.143808
Simulação 73, seed = 1686871873.777423, pi = 3.141332
Simulação 74, seed = 1686871874.3934226, pi = 3.141896
Simulação 75, seed = 1686871874.9904225, pi = 3.139412
Simulação 76, seed = 1686871875.6054223, pi = 3.140484
Simulação 77, seed = 1686871876.2414227, pi = 3.141128
Simulação 78, seed = 1686871876.8544228, pi = 3.142964
Simulação 79, seed = 1686871877.463422, pi = 3.139916
Simulação 80, seed = 1686871878.0494242, pi = 3.141732
Simulação 81, seed = 1686871878.6564226, pi = 3.141616
Simulação 82, seed = 1686871879.2594223, pi = 3.141212
Simulação 83, seed = 1686871879.868423, pi = 3.140268
Simulação 84, seed = 1686871880.468423, pi = 3.139116
Simulação 85, seed = 1686871881.0694232, pi = 3.139876
Simulação 86, seed = 1686871881.663423, pi = 3.141244
Simulação 87, seed = 1686871882.2654214, pi = 3.14284
Simulação 88, seed = 1686871882.8674216, pi = 3.138856
Simulação 89, seed = 1686871883.468423, pi = 3.143532
Simulação 90, seed = 1686871884.067424, pi = 3.141096
Simulação 91, seed = 1686871884.681421, pi = 3.1437
Simulação 92, seed = 1686871885.2724288, pi = 3.14218
Simulação 93, seed = 1686871885.8704228, pi = 3.140368
Simulação 94, seed = 1686871886.4924219, pi = 3.139868
Simulação 95, seed = 1686871887.0904233, pi = 3.140768
